Globalstrahlung [W/m²d] []
YYYY	MM	DD	HH	877	882	720	385	480	227	384	214	385	877
YYYY	MM	DD	HH	4623488.7988	4623101.10891	4621947.43676	4609997.7677	4606797.8645	4623183	4605986	4611169	4610065	4623539
YYYY	MM	DD	HH	5623995.47668	5624003.77103	5629667.1442	5649664.40457	5641616.25068	5667440	5646718	5650845	5648627	5622933
YYYY	MM	DD	HH	RStat1	RStat2	RStat3	RStat4	RStat5	RStat6	RStat7	RStat8	RStat9	RStat10
2000	01	01	24	 451.2330	9999.0	 262.9098	 190.7	9999.0	9999	9999	9999	9999	9999
2000	01	02	24	 641.2549	 453.8	 396.7170	 696.8	9999.0	9999	9999	9999	9999	9999
2000	01	03	24	 688.3450	 412.5	 420.5127	 559.3	9999.0	9999	9999	9999	9999	9999
2000	01	04	24	 405.2509	 281.8	 149.2336	 219.7	9999.0	9999	9999	9999	9999	9999
2000	01	05	24	1062.8489	 818.6	1005.7411	1232.8	9999.0	9999	9999	9999	9999	9999
2000	01	06	24	 683.3590	 854.7	1559.7869	1427.0	9999.0	9999	9999	9999	9999	9999
2000	01	07	24	 703.3030	 618.1	 740.0967	 821.8	9999.0	9999	9999	9999	9999	9999
2000	01	08	24	 565.3568	 476.5	 815.1504	 682.4	9999.0	9999	9999	9999	9999	9999
2000	01	09	24	 573.9439	 469.3	 427.2415	 245.8	9999.0	9999	9999	9999	9999	9999
2000	01	10	24	 697.4860	 432.5	 400.7654	 626.6	9999.0	9999	9999	9999	9999	9999
2000	01	11	24	 751.2239	 673.6	1946.3302	1359.7	9999.0	9999	9999	9999	9999	9999
2000	01	12	24	 940.6910	 547.9	1582.4907	1582.4	9999.0	9999	9999	9999	9999	9999
2000	01	13	24	 540.1499	 218.2	1592.3369	1565.0	9999.0	9999	9999	9999	9999	9999
2000	01	14	24	 609.9540	 205.8	 777.7329	 974.6	9999.0	9999	9999	9999	9999	9999
2000	01	15	24	 540.1499	 113.9	 230.6888	 313.7	9999.0	9999	9999	9999	9999	9999
2000	01	16	24	 776.9849	 141.9	 455.1414	 623.2	9999.0	9999	9999	9999	9999	9999
2000	01	17	24	 547.9060	9999.0	 232.3300	 176.8	9999.0	9999	9999	9999	9999	9999
2000	01	18	24	 428.2420	9999.0	 186.8704	 367.7	9999.0	9999	9999	9999	9999	9999
2000	01	19	24	 582.8079	9999.0	 238.8944	 854.3	9999.0	9999	9999	9999	9999	9999
2000	01	20	24	 526.5768	9999.0	 230.5795	 238.9	9999.0	9999	9999	9999	9999	9999
2000	01	21	24	 682.8040	9999.0	 362.4716	 684.3	9999.0	9999	9999	9999	9999	9999
2000	01	22	24	 673.6639	9999.0	 592.0659	 635.8	9999.0	9999	9999	9999	9999	9999
2000	01	23	24	1001.6310	9999.0	 440.8629	 459.2	9999.0	9999	9999	9999	9999	9999
2000	01	24	24	2221.2590	9999.0	1823.7367	1009.5	9999.0	9999	9999	9999	9999	9999
2000	01	25	24	2114.3369	9999.0	1841.6258	1270.5	9999.0	9999	9999	9999	9999	9999
2000	01	26	24	 849.5579	9999.0	 437.8549	 556.4	9999.0	9999	9999	9999	9999	9999
2000	01	27	24	 769.5060	9999.0	 248.0848	 415.2	9999.0	9999	9999	9999	9999	9999
2000	01	28	24	1430.1499	9999.0	1159.9519	1257.9	9999.0	9999	9999	9999	9999	9999
2000	01	29	24	 451.5100	9999.0	 341.4650	 342.3	9999.0	9999	9999	9999	9999	9999
2000	01	30	24	 909.9450	9999.0	 764.2215	1616.3	9999.0	9999	9999	9999	9999	9999
2000	01	31	24	 641.8090	9999.0	 333.6426	 348.1	9999.0	9999	9999	9999	9999	9999
2000	02	01	24	 968.6689	9999.0	9999.0000	 675.8	9999.0	9999	9999	9999	9999	9999
2000	02	02	24	 443.2000	 343.4	9999.0000	 417.4	9999.0	9999	9999	9999	9999	9999
2000	02	03	24	 842.3570	 690.6	9999.0000	 761.1	9999.0	9999	9999	9999	9999	9999
2000	02	04	24	1366.1609	1229.6	9999.0000	1486.6	9999.0	9999	9999	9999	9999	9999
2000	02	05	24	1167.1394	 949.1	9999.0000	1462.6	9999.0	9999	9999	9999	9999	9999
2000	02	06	24	1774.4610	1628.9	9999.0000	1645.4	9999.0	9999	9999	9999	9999	9999
2000	02	07	24	 473.3929	 443.4	9999.0000	1050.7	9999.0	9999	9999	9999	9999	9999
2000	02	08	24	1235.9729	1137.2	9999.0000	1183.8	9999.0	9999	9999	9999	9999	9999
2000	02	09	24	1350.3729	1117.4	9999.0000	1087.1	9999.0	9999	9999	9999	9999	9999
2000	02	10	24	1680.2790	1545.0	9999.0000	1483.6	9999.0	9999	9999	9999	9999	9999
2000	02	11	24	1562.2779	1212.0	9999.0000	 762.7	9999.0	9999	9999	9999	9999	9999
2000	02	12	24	2251.4550	2098.9	9999.0000	2546.6	9999.0	9999	9999	9999	9999	9999
2000	02	13	24	 957.3108	 945.6	9999.0000	 925.7	9999.0	9999	9999	9999	9999	9999
2000	02	14	24	1619.3419	1436.3	9999.0000	1095.6	9999.0	9999	9999	9999	9999	9999
2000	02	15	24	 746.2380	 543.0	9999.0000	 460.1	9999.0	9999	9999	9999	9999	9999
2000	02	16	24	1298.5760	1109.3	1123.6300	 925.2	9999.0	9999	9999	9999	9999	9999
2000	02	17	24	1269.4909	1231.6	1170.5200	 906.4	9999.0	9999	9999	9999	9999	9999
2000	02	18	24	1535.1330	1673.6	2011.0400	1800.7	9999.0	9999	9999	9999	9999	9999
