YY	MM	DD	HH	"1"	"2"	tot_average
Interzeptionsverdunstung_in_mm_interception_model
--	--	--	--	0.6468891	0.3531109	1.0000
2000	 8	 1	24	0.00000	0.00000	0.00000
2000	 8	 2	24	0.35841	0.35782	0.35820
2000	 8	 3	24	0.09696	0.78860	0.34118
2000	 8	 4	24	0.00000	0.00000	0.00000
2000	 8	 5	24	0.00000	0.00000	0.00000
2000	 8	 6	24	1.59011	1.66031	1.61490
2000	 8	 7	24	1.53515	1.64782	1.57494
2000	 8	 8	24	1.01561	1.32388	1.12446
2000	 8	 9	24	0.04991	0.32813	0.14815
2000	 8	10	24	0.65716	0.03676	0.43809
2000	 8	11	24	0.00000	0.00000	0.00000
2000	 8	12	24	0.00000	0.00000	0.00000
2000	 8	13	24	0.00000	0.00000	0.00000
2000	 8	14	24	0.00000	0.00000	0.00000
2000	 8	15	24	2.69246	3.31205	2.91125
2000	 8	16	24	0.00000	0.00000	0.00000
2000	 8	17	24	0.10912	0.00990	0.07409
2000	 8	18	24	0.18535	0.04433	0.13555
2000	 8	19	24	0.05229	0.00000	0.03383
2000	 8	20	24	3.04648	3.31199	3.14023
2000	 8	21	24	2.18721	2.61561	2.33848
2000	 8	22	24	0.98045	0.79802	0.91604
2000	 8	23	24	0.18646	0.00000	0.12062
2000	 8	24	24	0.00000	0.00000	0.00000
2000	 8	25	24	0.00000	0.00000	0.00000
2000	 8	26	24	0.00000	0.00000	0.00000
2000	 8	27	24	0.00000	0.00000	0.00000
2000	 8	28	24	1.09891	0.92974	1.03917
2000	 8	29	24	1.53743	0.23152	1.07630
2000	 8	30	24	0.01806	0.00000	0.01169
2000	 8	31	24	0.14751	0.33784	0.21471
2000	 9	 1	24	1.93481	2.15279	2.01178
2000	 9	 2	24	1.53999	1.47852	1.51828
2000	 9	 3	24	0.32401	0.33758	0.32880
2000	 9	 4	24	0.31791	0.28730	0.30710
2000	 9	 5	24	0.66615	0.57525	0.63405
2000	 9	 6	24	1.38258	1.18970	1.31447
2000	 9	 7	24	0.73812	0.86253	0.78205
2000	 9	 8	24	1.22722	1.20987	1.22109
2000	 9	 9	24	0.75876	0.64346	0.71805
2000	 9	10	24	0.00000	0.00000	0.00000
2000	 9	11	24	0.00000	0.00000	0.00000
2000	 9	12	24	0.00000	0.00000	0.00000
2000	 9	13	24	1.64814	1.19728	1.48894
2000	 9	14	24	0.28164	0.00000	0.18219
2000	 9	15	24	0.01481	0.00000	0.00958
2000	 9	16	24	1.09416	0.86309	1.01257
2000	 9	17	24	0.58310	0.57239	0.57932
2000	 9	18	24	0.36151	0.13600	0.28188
2000	 9	19	24	0.47064	0.02984	0.31499
2000	 9	20	24	0.03659	0.00000	0.02367
2000	 9	21	24	0.19690	0.20049	0.19817
2000	 9	22	24	0.37909	0.40476	0.38816
2000	 9	23	24	1.15772	1.03339	1.11382
2000	 9	24	24	0.10879	0.00304	0.07145
2000	 9	25	24	0.00000	0.00000	0.00000
2000	 9	26	24	0.00000	0.00000	0.00000
2000	 9	27	24	0.68873	0.10595	0.48294
2000	 9	28	24	0.24343	0.00772	0.16020
2000	 9	29	24	0.00000	0.00000	0.00000
2000	 9	30	24	0.00000	0.00000	0.00000
2000	10	 1	24	0.98644	0.78853	0.91655
2000	10	 2	24	0.80249	0.73570	0.77891
2000	10	 3	24	0.60551	0.65572	0.62324
2000	10	 4	24	0.27913	0.17235	0.24142
2000	10	 5	24	0.56462	0.43082	0.51737
2000	10	 6	24	0.02962	0.03730	0.03233
2000	10	 7	24	0.00000	0.00000	0.00000
2000	10	 8	24	0.07370	0.07875	0.07548
2000	10	 9	24	0.20286	0.09761	0.16570
2000	10	10	24	0.23660	0.06116	0.17465
2000	10	11	24	0.54196	0.28372	0.45077
2000	10	12	24	0.59401	0.44674	0.54201
2000	10	13	24	0.53959	0.55781	0.54602
2000	10	14	24	0.18260	0.33886	0.23778
2000	10	15	24	0.46336	0.56518	0.49931
2000	10	16	24	0.00000	0.00000	0.00000
2000	10	17	24	0.50852	0.38219	0.46391
2000	10	18	24	0.06429	0.06153	0.06332
2000	10	19	24	0.17452	0.10306	0.14929
2000	10	20	24	0.13684	0.01705	0.09454
2000	10	21	24	0.83343	0.65830	0.77159
2000	10	22	24	0.57609	0.63837	0.59808
2000	10	23	24	0.34291	0.44341	0.37840
2000	10	24	24	0.47023	0.50482	0.48244
2000	10	25	24	0.90369	0.72181	0.83946
2000	10	26	24	0.25617	0.20495	0.23808
2000	10	27	24	0.32157	0.25266	0.29724
2000	10	28	24	0.23513	0.11526	0.19280
2000	10	29	24	0.62410	0.29661	0.50846
2000	10	30	24	0.41110	0.31649	0.37769
2000	10	31	24	0.35700	0.14528	0.28224
2000	11	 1	24	0.43770	0.31320	0.39374
2000	11	 2	24	0.21495	0.39126	0.27720
2000	11	 3	24	0.32048	0.09291	0.24012
2000	11	 4	24	0.22085	0.18053	0.20661
2000	11	 5	24	0.29268	0.19301	0.25749
2000	11	 6	24	0.18575	0.03966	0.13417
2000	11	 7	24	0.56821	0.29542	0.47188
2000	11	 8	24	0.37037	0.20423	0.31170
2000	11	 9	24	0.31880	0.26377	0.29937
2000	11	10	24	0.35563	0.48489	0.40128
2000	11	11	24	0.18474	0.29096	0.22225
2000	11	12	24	0.08095	0.16462	0.11049
2000	11	13	24	0.02147	0.04925	0.03128
2000	11	14	24	0.15432	0.05536	0.11938
2000	11	15	24	0.19861	0.13124	0.17482
2000	11	16	24	0.37414	0.19384	0.31048
2000	11	17	24	0.02516	0.02335	0.02452
2000	11	18	24	0.19793	0.11236	0.16771
2000	11	19	24	0.38817	0.12955	0.29685
2000	11	20	24	0.36529	0.12143	0.27918
2000	11	21	24	0.01687	0.02150	0.01850
2000	11	22	24	0.21632	0.06407	0.16256
2000	11	23	24	0.25107	0.05148	0.18060
2000	11	24	24	0.32752	0.08133	0.24059
2000	11	25	24	0.00932	0.01716	0.01209
2000	11	26	24	0.05310	0.02274	0.04238
2000	11	27	24	0.06305	0.01971	0.04775
2000	11	28	24	0.13286	0.05119	0.10402
2000	11	29	24	0.31115	0.11838	0.24308
2000	11	30	24	0.23388	0.07637	0.17826
2000	12	 1	24	0.43777	0.08370	0.31274
2000	12	 2	24	0.20248	0.15739	0.18656
2000	12	 3	24	0.17048	0.09711	0.14457
2000	12	 4	24	0.07131	0.05914	0.06701
2000	12	 5	24	0.08161	0.02988	0.06334
2000	12	 6	24	0.04052	0.03822	0.03971
2000	12	 7	24	0.03711	0.03653	0.03690
2000	12	 8	24	0.35849	0.03053	0.24268
2000	12	 9	24	0.21047	0.06737	0.15994
2000	12	10	24	0.27986	0.10238	0.21719
2000	12	11	24	0.58906	0.44189	0.53709
2000	12	12	24	0.31672	0.22801	0.28540
2000	12	13	24	1.10679	0.97155	1.05903
2000	12	14	24	0.51744	0.31640	0.44645
2000	12	15	24	0.18192	0.03920	0.13153
2000	12	16	24	0.03086	0.00000	0.01997
2000	12	17	24	0.04578	0.00000	0.02961
2000	12	18	24	0.09053	0.00000	0.05856
2000	12	19	24	0.11541	0.00000	0.07466
2000	12	20	24	0.21264	0.00000	0.13756
2000	12	21	24	0.13452	0.00000	0.08702
2000	12	22	24	0.34992	0.00000	0.22636
2000	12	23	24	0.40343	0.00000	0.26097
2000	12	24	24	0.24527	0.57921	0.36319
2000	12	25	24	0.08750	0.00000	0.05660
2000	12	26	24	0.05097	0.00000	0.03297
2000	12	27	24	0.18977	0.00000	0.12276
2000	12	28	24	0.31287	0.08291	0.23167
2000	12	29	24	0.24390	0.00442	0.15934
2000	12	30	24	0.00000	0.00000	0.00000
2000	12	31	24	0.00000	0.00000	0.00000
2001	 1	 1	24	0.08032	0.00000	0.05196
2001	 1	 2	24	0.13966	0.00000	0.09035
2001	 1	 3	24	0.13627	0.00000	0.08815
2001	 1	 4	24	0.20431	0.00000	0.13217
2001	 1	 5	24	0.16344	0.00000	0.10572
2001	 1	 6	24	0.18620	0.00000	0.12045
2001	 1	 7	24	0.13324	0.00000	0.08619
2001	 1	 8	24	0.08220	0.00000	0.05318
2001	 1	 9	24	0.06751	0.00000	0.04367
2001	 1	10	24	0.18194	0.00000	0.11770
2001	 1	11	24	0.02997	0.00000	0.01939
2001	 1	12	24	0.06416	0.00000	0.04150
2001	 1	13	24	0.09372	0.00000	0.06063
2001	 1	14	24	0.19172	0.00000	0.12402
2001	 1	15	24	0.21750	0.00000	0.14070
2001	 1	16	24	0.24166	0.00000	0.15633
2001	 1	17	24	0.08849	0.00000	0.05725
