YY	MM	DD	HH	"1"	"2"	tot_average

--	--	--	--	0.6468891	0.3531109	1.0000
2000	 8	 1	24	0.664	0.710	0.680
2000	 8	 2	24	0.744	0.785	0.759
2000	 8	 3	24	0.729	0.756	0.738
2000	 8	 4	24	0.696	0.727	0.707
2000	 8	 5	24	0.676	0.708	0.687
2000	 8	 6	24	0.825	0.852	0.834
2000	 8	 7	24	0.861	0.869	0.864
2000	 8	 8	24	0.832	0.854	0.840
2000	 8	 9	24	0.834	0.851	0.840
2000	 8	10	24	0.765	0.799	0.777
2000	 8	11	24	0.819	0.827	0.822
2000	 8	12	24	0.680	0.698	0.687
2000	 8	13	24	0.521	0.564	0.536
2000	 8	14	24	0.477	0.533	0.497
2000	 8	15	24	0.635	0.687	0.654
2000	 8	16	24	0.733	0.756	0.741
2000	 8	17	24	0.643	0.678	0.655
2000	 8	18	24	0.720	0.757	0.733
2000	 8	19	24	0.627	0.676	0.644
2000	 8	20	24	0.620	0.651	0.631
2000	 8	21	24	0.838	0.840	0.839
2000	 8	22	24	0.881	0.888	0.884
2000	 8	23	24	0.764	0.791	0.774
2000	 8	24	24	0.700	0.736	0.713
2000	 8	25	24	0.804	0.838	0.816
2000	 8	26	24	0.697	0.728	0.708
2000	 8	27	24	0.665	0.715	0.683
2000	 8	28	24	0.877	0.892	0.882
2000	 8	29	24	0.740	0.760	0.747
2000	 8	30	24	0.720	0.747	0.729
2000	 8	31	24	0.863	0.873	0.867
2000	 9	 1	24	0.808	0.813	0.810
2000	 9	 2	24	0.859	0.876	0.865
2000	 9	 3	24	0.972	0.972	0.972
2000	 9	 4	24	0.972	0.977	0.974
2000	 9	 5	24	0.940	0.953	0.945
2000	 9	 6	24	0.846	0.877	0.857
2000	 9	 7	24	0.954	0.954	0.954
2000	 9	 8	24	0.865	0.884	0.872
2000	 9	 9	24	0.766	0.787	0.773
2000	 9	10	24	0.835	0.854	0.842
2000	 9	11	24	0.874	0.881	0.877
2000	 9	12	24	0.815	0.872	0.835
2000	 9	13	24	0.823	0.846	0.831
2000	 9	14	24	0.898	0.902	0.899
2000	 9	15	24	0.814	0.858	0.829
2000	 9	16	24	0.877	0.921	0.892
2000	 9	17	24	0.943	0.950	0.945
2000	 9	18	24	0.960	0.970	0.964
2000	 9	19	24	0.898	0.952	0.917
2000	 9	20	24	0.903	0.932	0.913
2000	 9	21	24	0.961	0.953	0.958
2000	 9	22	24	0.959	0.957	0.958
2000	 9	23	24	0.823	0.842	0.830
2000	 9	24	24	0.821	0.873	0.839
2000	 9	25	24	0.841	0.902	0.863
2000	 9	26	24	0.852	0.899	0.868
2000	 9	27	24	0.851	0.918	0.875
2000	 9	28	24	0.867	0.940	0.892
2000	 9	29	24	0.694	0.743	0.712
2000	 9	30	24	0.737	0.788	0.755
2000	10	 1	24	0.885	0.934	0.903
2000	10	 2	24	0.899	0.898	0.899
2000	10	 3	24	0.932	0.946	0.937
2000	10	 4	24	0.960	0.980	0.967
2000	10	 5	24	0.927	0.962	0.939
2000	10	 6	24	0.987	0.982	0.985
2000	10	 7	24	0.993	0.988	0.991
2000	10	 8	24	0.990	0.990	0.990
2000	10	 9	24	0.969	0.986	0.975
2000	10	10	24	0.956	0.988	0.967
2000	10	11	24	0.918	0.978	0.939
2000	10	12	24	0.885	0.932	0.902
2000	10	13	24	0.909	0.942	0.921
2000	10	14	24	0.974	0.957	0.968
2000	10	15	24	0.797	0.842	0.813
2000	10	16	24	0.839	0.907	0.863
2000	10	17	24	0.856	0.878	0.864
2000	10	18	24	0.978	0.976	0.978
2000	10	19	24	0.975	0.985	0.979
2000	10	20	24	0.965	0.989	0.973
2000	10	21	24	0.816	0.885	0.840
2000	10	22	24	0.749	0.860	0.788
2000	10	23	24	0.801	0.916	0.841
2000	10	24	24	0.844	0.891	0.860
2000	10	25	24	0.830	0.873	0.845
2000	10	26	24	0.957	0.964	0.959
2000	10	27	24	0.933	0.945	0.937
2000	10	28	24	0.961	0.981	0.968
2000	10	29	24	0.861	0.945	0.890
2000	10	30	24	0.843	0.923	0.871
2000	10	31	24	0.880	0.952	0.906
2000	11	 1	24	0.869	0.932	0.891
2000	11	 2	24	0.853	0.916	0.875
2000	11	 3	24	0.933	0.980	0.950
2000	11	 4	24	0.950	0.961	0.954
2000	11	 5	24	0.917	0.951	0.929
2000	11	 6	24	0.943	0.979	0.956
2000	11	 7	24	0.875	0.943	0.899
2000	11	 8	24	0.899	0.954	0.918
2000	11	 9	24	0.874	0.935	0.896
2000	11	10	24	0.814	0.840	0.823
2000	11	11	24	0.826	0.873	0.843
2000	11	12	24	0.822	0.920	0.857
2000	11	13	24	0.874	0.970	0.908
2000	11	14	24	0.950	0.976	0.959
2000	11	15	24	0.952	0.968	0.957
2000	11	16	24	0.894	0.946	0.913
2000	11	17	24	0.978	0.975	0.977
2000	11	18	24	0.933	0.955	0.941
2000	11	19	24	0.874	0.952	0.902
2000	11	20	24	0.892	0.962	0.916
2000	11	21	24	0.985	0.977	0.982
2000	11	22	24	0.943	0.980	0.956
2000	11	23	24	0.930	0.980	0.947
2000	11	24	24	0.907	0.975	0.931
2000	11	25	24	0.982	0.974	0.980
2000	11	26	24	0.979	0.982	0.980
2000	11	27	24	0.971	0.981	0.975
2000	11	28	24	0.957	0.975	0.963
2000	11	29	24	0.917	0.969	0.935
2000	11	30	24	0.933	0.976	0.948
2000	12	 1	24	0.836	0.967	0.882
2000	12	 2	24	0.915	0.953	0.928
2000	12	 3	24	0.912	0.965	0.931
2000	12	 4	24	0.955	0.977	0.963
2000	12	 5	24	0.927	0.986	0.948
2000	12	 6	24	0.949	0.981	0.960
2000	12	 7	24	0.952	0.982	0.963
2000	12	 8	24	0.889	0.979	0.921
2000	12	 9	24	0.931	0.977	0.947
2000	12	10	24	0.924	0.966	0.939
2000	12	11	24	0.847	0.875	0.857
2000	12	12	24	0.918	0.932	0.923
2000	12	13	24	0.714	0.768	0.733
2000	12	14	24	0.866	0.905	0.880
2000	12	15	24	0.943	0.948	0.945
2000	12	16	24	0.968	0.969	0.969
2000	12	17	24	0.966	0.972	0.968
2000	12	18	24	0.941	0.964	0.949
2000	12	19	24	0.927	0.950	0.935
2000	12	20	24	0.901	0.940	0.915
2000	12	21	24	0.907	0.940	0.919
2000	12	22	24	0.756	0.924	0.815
2000	12	23	24	0.642	0.897	0.732
2000	12	24	24	0.704	0.781	0.731
2000	12	25	24	0.932	0.955	0.940
2000	12	26	24	0.969	0.971	0.970
2000	12	27	24	0.922	0.970	0.939
2000	12	28	24	0.884	0.952	0.908
2000	12	29	24	0.887	0.938	0.905
2000	12	30	24	0.931	0.953	0.939
2000	12	31	24	0.960	0.964	0.961
2001	 1	 1	24	0.819	0.947	0.864
2001	 1	 2	24	0.919	0.964	0.935
2001	 1	 3	24	0.945	0.972	0.954
2001	 1	 4	24	0.920	0.971	0.938
2001	 1	 5	24	0.943	0.974	0.954
2001	 1	 6	24	0.937	0.964	0.946
2001	 1	 7	24	0.951	0.970	0.958
2001	 1	 8	24	0.963	0.973	0.966
2001	 1	 9	24	0.961	0.972	0.965
2001	 1	10	24	0.914	0.963	0.931
2001	 1	11	24	0.974	0.969	0.972
2001	 1	12	24	0.960	0.962	0.961
2001	 1	13	24	0.939	0.950	0.943
