YY	MM	DD	HH	"1"	"2"	tot_average
Infiltrationueberschuss in mm je Zone  infiltration_model
--	--	--	--	0.6468891	0.3531109	1.0000
2000	 8	 1	24	0.00000	0.00000	0.00000
2000	 8	 2	24	0.00111	0.00080	0.00100
2000	 8	 3	24	0.00017	0.00150	0.00064
2000	 8	 4	24	0.00000	0.00000	0.00000
2000	 8	 5	24	0.00000	0.00000	0.00000
2000	 8	 6	24	0.01069	0.01773	0.01317
2000	 8	 7	24	0.02035	0.01468	0.01835
2000	 8	 8	24	0.00000	0.00000	0.00000
2000	 8	 9	24	0.00000	0.00000	0.00000
2000	 8	10	24	0.00211	0.00024	0.00145
2000	 8	11	24	0.00000	0.00000	0.00000
2000	 8	12	24	0.00000	0.00000	0.00000
2000	 8	13	24	0.00000	0.00000	0.00000
2000	 8	14	24	0.00000	0.00000	0.00000
2000	 8	15	24	0.03237	0.06616	0.04430
2000	 8	16	24	0.00000	0.00000	0.00000
2000	 8	17	24	0.00026	0.00010	0.00020
2000	 8	18	24	0.00070	0.00026	0.00054
2000	 8	19	24	0.00005	0.00000	0.00003
2000	 8	20	24	0.13629	0.05659	0.10814
2000	 8	21	24	0.20531	0.17334	0.19402
2000	 8	22	24	0.00084	0.00035	0.00067
2000	 8	23	24	0.00000	0.00000	0.00000
2000	 8	24	24	0.00000	0.00000	0.00000
2000	 8	25	24	0.00000	0.00000	0.00000
2000	 8	26	24	0.00000	0.00000	0.00000
2000	 8	27	24	0.00000	0.00000	0.00000
2000	 8	28	24	0.03426	0.00556	0.02413
2000	 8	29	24	0.00000	0.00000	0.00000
2000	 8	30	24	0.00000	0.00000	0.00000
2000	 8	31	24	0.00044	0.00078	0.00056
2000	 9	 1	24	0.02870	0.03401	0.03058
2000	 9	 2	24	0.02676	0.01859	0.02388
2000	 9	 3	24	0.23029	0.27020	0.24438
2000	 9	 4	24	0.02677	0.01663	0.02319
2000	 9	 5	24	0.00720	0.00285	0.00566
2000	 9	 6	24	0.06900	0.09511	0.07822
2000	 9	 7	24	0.00861	0.00226	0.00637
2000	 9	 8	24	0.00000	0.00000	0.00000
2000	 9	 9	24	0.00000	0.00000	0.00000
2000	 9	10	24	0.00000	0.00000	0.00000
2000	 9	11	24	0.00000	0.00000	0.00000
2000	 9	12	24	0.00000	0.00000	0.00000
2000	 9	13	24	0.02095	0.00454	0.01515
2000	 9	14	24	0.00000	0.00000	0.00000
2000	 9	15	24	0.00000	0.00000	0.00000
2000	 9	16	24	0.01586	0.00550	0.01220
2000	 9	17	24	0.00360	0.00107	0.00270
2000	 9	18	24	0.00000	0.00000	0.00000
2000	 9	19	24	0.00000	0.00000	0.00000
2000	 9	20	24	0.00005	0.00000	0.00003
2000	 9	21	24	0.01866	0.01057	0.01580
2000	 9	22	24	0.00000	0.00000	0.00000
2000	 9	23	24	0.00000	0.00000	0.00000
2000	 9	24	24	0.00000	0.00000	0.00000
2000	 9	25	24	0.00000	0.00000	0.00000
2000	 9	26	24	0.00000	0.00000	0.00000
2000	 9	27	24	0.00376	0.00057	0.00263
2000	 9	28	24	0.00109	0.00001	0.00071
2000	 9	29	24	0.00000	0.00000	0.00000
2000	 9	30	24	0.00000	0.00000	0.00000
2000	10	 1	24	0.16477	0.25615	0.19703
2000	10	 2	24	0.00488	0.00050	0.00334
2000	10	 3	24	0.00444	0.00239	0.00371
2000	10	 4	24	0.00188	0.00037	0.00135
2000	10	 5	24	0.04013	0.02915	0.03625
2000	10	 6	24	0.09230	0.06282	0.08189
2000	10	 7	24	0.22514	0.15379	0.19994
2000	10	 8	24	0.03566	0.01907	0.02980
2000	10	 9	24	0.00796	0.00512	0.00695
2000	10	10	24	0.00267	0.00048	0.00189
2000	10	11	24	0.01061	0.00858	0.00990
2000	10	12	24	0.00120	0.00032	0.00089
2000	10	13	24	0.00067	0.00000	0.00043
2000	10	14	24	0.00000	0.00000	0.00000
2000	10	15	24	0.00000	0.00000	0.00000
2000	10	16	24	0.00000	0.00000	0.00000
2000	10	17	24	0.00216	0.00110	0.00178
2000	10	18	24	0.05666	0.07825	0.06428
2000	10	19	24	0.00092	0.00000	0.00060
2000	10	20	24	0.00000	0.00004	0.00002
2000	10	21	24	0.00000	0.00000	0.00000
2000	10	22	24	0.00000	0.00000	0.00000
2000	10	23	24	0.00109	0.00069	0.00095
2000	10	24	24	0.00179	0.00080	0.00144
2000	10	25	24	0.01414	0.00910	0.01236
2000	10	26	24	0.06344	0.04870	0.05823
2000	10	27	24	0.01655	0.01255	0.01514
2000	10	28	24	0.00185	0.00259	0.00211
2000	10	29	24	0.00000	0.00000	0.00000
2000	10	30	24	0.00000	0.00000	0.00000
2000	10	31	24	0.00139	0.00068	0.00114
2000	11	 1	24	0.00125	0.00026	0.00090
2000	11	 2	24	0.00000	0.00000	0.00000
2000	11	 3	24	0.06196	0.05881	0.06085
2000	11	 4	24	0.00026	0.00000	0.00017
2000	11	 5	24	0.00000	0.00000	0.00000
2000	11	 6	24	0.00227	0.00746	0.00410
2000	11	 7	24	0.03409	0.03204	0.03337
2000	11	 8	24	0.00000	0.00000	0.00000
2000	11	 9	24	0.00000	0.00000	0.00000
2000	11	10	24	0.00000	0.00000	0.00000
2000	11	11	24	0.00000	0.00000	0.00000
2000	11	12	24	0.00000	0.00000	0.00000
2000	11	13	24	0.00000	0.00000	0.00000
2000	11	14	24	0.04435	0.03012	0.03932
2000	11	15	24	0.00578	0.00363	0.00502
2000	11	16	24	0.00974	0.01562	0.01181
2000	11	17	24	0.06032	0.03882	0.05273
2000	11	18	24	0.00000	0.00000	0.00000
2000	11	19	24	0.00000	0.00000	0.00000
2000	11	20	24	0.00959	0.00914	0.00943
2000	11	21	24	0.01128	0.01815	0.01371
2000	11	22	24	0.00000	0.00000	0.00000
2000	11	23	24	0.00000	0.00000	0.00000
2000	11	24	24	0.07655	0.07924	0.07750
2000	11	25	24	0.06762	0.05027	0.06149
2000	11	26	24	0.04515	0.04697	0.04579
2000	11	27	24	0.01972	0.01146	0.01681
2000	11	28	24	0.01946	0.01489	0.01785
2000	11	29	24	0.00023	0.00000	0.00015
2000	11	30	24	0.00000	0.00000	0.00000
2000	12	 1	24	0.00000	0.00000	0.00000
2000	12	 2	24	0.00000	0.00000	0.00000
2000	12	 3	24	0.00000	0.00000	0.00000
2000	12	 4	24	0.00032	0.00003	0.00022
2000	12	 5	24	0.00029	0.00241	0.00104
2000	12	 6	24	0.00000	0.00000	0.00000
2000	12	 7	24	0.00007	0.00000	0.00004
2000	12	 8	24	0.00462	0.01010	0.00655
2000	12	 9	24	0.00000	0.00000	0.00000
2000	12	10	24	0.03579	0.03494	0.03549
2000	12	11	24	0.04173	0.06305	0.04926
2000	12	12	24	0.03665	0.01620	0.02943
2000	12	13	24	0.00052	0.00022	0.00041
2000	12	14	24	0.01831	0.03349	0.02367
2000	12	15	24	0.09909	0.06735	0.08788
2000	12	16	24	0.04673	0.00000	0.03023
2000	12	17	24	0.00489	0.00000	0.00316
2000	12	18	24	0.00810	0.01287	0.00979
2000	12	19	24	0.00300	0.01089	0.00578
2000	12	20	24	0.00073	0.00101	0.00083
2000	12	21	24	0.00001	0.00008	0.00004
2000	12	22	24	0.00001	0.00006	0.00003
2000	12	23	24	0.00004	0.00007	0.00005
2000	12	24	24	0.00138	0.01093	0.00476
2000	12	25	24	0.01178	0.00012	0.00766
2000	12	26	24	0.00012	0.00001	0.00008
2000	12	27	24	0.00018	0.00064	0.00034
2000	12	28	24	0.00799	0.01590	0.01078
2000	12	29	24	0.01055	0.00102	0.00718
2000	12	30	24	0.03216	0.00000	0.02081
2000	12	31	24	0.01196	0.00000	0.00774
2001	 1	 1	24	0.03053	0.00000	0.01975
2001	 1	 2	24	0.02612	0.00000	0.01690
2001	 1	 3	24	0.01233	0.01845	0.01449
2001	 1	 4	24	0.01164	0.01025	0.01115
2001	 1	 5	24	0.09409	0.06033	0.08217
2001	 1	 6	24	0.02530	0.07784	0.04385
2001	 1	 7	24	0.00524	0.03691	0.01642
2001	 1	 8	24	0.00271	0.02169	0.00941
2001	 1	 9	24	0.00196	0.00120	0.00169
2001	 1	10	24	0.02577	0.00740	0.01928
2001	 1	11	24	0.00173	0.00000	0.00112
2001	 1	12	24	0.00007	0.00000	0.00004
2001	 1	13	24	0.00000	0.00000	0.00000
2001	 1	14	24	0.00001	0.00000	0.00001
2001	 1	15	24	0.00005	0.00000	0.00003
2001	 1	16	24	0.00001	0.00000	0.00001
2001	 1	17	24	0.00001	0.00000	0.00001
2001	 1	18	24	0.00055	0.00000	0.00035
2001	 1	19	24	0.00121	0.00000	0.00078
2001	 1	20	24	0.00109	0.00000	0.00070
2001	 1	21	24	0.00147	0.00000	0.00095
2001	 1	22	24	0.00640	0.00000	0.00414
2001	 1	23	24	0.02142	0.00000	0.01386
2001	 1	24	24	0.07848	0.00000	0.05077
2001	 1	25	24	0.06207	0.00885	0.04328
2001	 1	26	24	0.02480	0.01971	0.02301
2001	 1	27	24	0.01578	0.00151	0.01074
2001	 1	28	24	0.01196	0.02207	0.01553
2001	 1	29	24	0.00480	0.00293	0.00414
2001	 1	30	24	0.02356	0.00108	0.01562
2001	 1	31	24	0.00742	0.00000	0.00480
2001	 2	 1	24	0.01331	0.00000	0.00861
2001	 2	 2	24	0.01050	0.00000	0.00679
2001	 2	 3	24	0.00000	0.00000	0.00000
2001	 2	 4	24	0.03624	0.00000	0.02344
2001	 2	 5	24	0.11254	0.06419	0.09547
2001	 2	 6	24	0.13606	0.10613	0.12550
2001	 2	 7	24	0.13751	0.09788	0.12351
2001	 2	 8	24	0.10952	0.06916	0.09527
2001	 2	 9	24	0.05414	0.07729	0.06231
2001	 2	10	24	0.00551	0.01392	0.00848
2001	 2	11	24	0.01207	0.04309	0.02302
2001	 2	12	24	0.04055	0.12841	0.07157
2001	 2	13	24	0.00579	0.04006	0.01789
2001	 2	14	24	0.00388	0.03543	0.01502
2001	 2	15	24	0.00676	0.09028	0.03625
2001	 2	16	24	0.00001	0.03267	0.01154
2001	 2	17	24	0.00698	0.00092	0.00484
2001	 2	18	24	0.00741	0.00000	0.00479
2001	 2	19	24	0.02462	0.00000	0.01592
2001	 2	20	24	0.01697	0.00786	0.01375
2001	 2	21	24	0.05641	0.01169	0.04062
2001	 2	22	24	0.14921	0.00000	0.09652
2001	 2	23	24	0.00760	0.00000	0.00491
2001	 2	24	24	0.00000	0.00000	0.00000
2001	 2	25	24	0.00017	0.00000	0.00011
2001	 2	26	24	0.00928	0.00000	0.00600
2001	 2	27	24	0.02705	0.00000	0.01750
2001	 2	28	24	0.03899	0.00000	0.02522
2001	 3	 1	24	0.05131	0.00000	0.03319
2001	 3	 2	24	0.03285	0.00000	0.02125
2001	 3	 3	24	0.05786	0.00000	0.03743
2001	 3	 4	24	0.06320	0.00281	0.04187
2001	 3	 5	24	0.01284	0.00005	0.00832
2001	 3	 6	24	0.03869	0.00679	0.02742
2001	 3	 7	24	0.06193	0.01722	0.04614
2001	 3	 8	24	0.12990	0.09263	0.11674
2001	 3	 9	24	0.14688	0.09656	0.12911
2001	 3	10	24	0.13700	0.10737	0.12654
2001	 3	11	24	0.11401	0.12805	0.11897
2001	 3	12	24	0.20477	0.25789	0.22353
2001	 3	13	24	0.06349	0.09719	0.07539
2001	 3	14	24	0.03163	0.03630	0.03328
2001	 3	15	24	0.02584	0.02747	0.02641
2001	 3	16	24	0.01432	0.05802	0.02975
2001	 3	17	24	0.10419	0.12267	0.11072
2001	 3	18	24	0.04312	0.09352	0.06092
2001	 3	19	24	0.04641	0.05674	0.05006
