YY	MM	DD	HH	"1"	"2"	tot_average

--	--	--	--	0.6468891	0.3531109	1.0000
2000	 8	 1	24	0.000	0.000	0.000
2000	 8	 2	24	0.405	0.392	0.400
2000	 8	 3	24	0.107	0.862	0.373
2000	 8	 4	24	0.000	0.000	0.000
2000	 8	 5	24	0.000	0.000	0.000
2000	 8	 6	24	2.454	3.933	2.976
2000	 8	 7	24	3.304	3.161	3.253
2000	 8	 8	24	0.000	0.000	0.000
2000	 8	 9	24	0.000	0.000	0.000
2000	 8	10	24	0.747	0.041	0.497
2000	 8	11	24	0.000	0.000	0.000
2000	 8	12	24	0.000	0.000	0.000
2000	 8	13	24	0.000	0.000	0.000
2000	 8	14	24	0.000	0.000	0.000
2000	 8	15	24	4.972	9.803	6.678
2000	 8	16	24	0.000	0.000	0.000
2000	 8	17	24	0.123	0.011	0.084
2000	 8	18	24	0.212	0.049	0.154
2000	 8	19	24	0.059	0.000	0.038
2000	 8	20	24	13.651	7.957	11.640
2000	 8	21	24	20.368	21.540	20.782
2000	 8	22	24	0.349	0.112	0.265
2000	 8	23	24	0.000	0.000	0.000
2000	 8	24	24	0.000	0.000	0.000
2000	 8	25	24	0.000	0.000	0.000
2000	 8	26	24	0.000	0.000	0.000
2000	 8	27	24	0.000	0.000	0.000
2000	 8	28	24	4.656	1.315	3.476
2000	 8	29	24	0.000	0.000	0.000
2000	 8	30	24	0.000	0.000	0.000
2000	 8	31	24	0.167	0.370	0.239
2000	 9	 1	24	4.286	5.928	4.866
2000	 9	 2	24	3.932	3.579	3.807
2000	 9	 3	24	22.245	31.677	25.576
2000	 9	 4	24	2.595	2.048	2.402
2000	 9	 5	24	0.865	0.473	0.727
2000	 9	 6	24	6.932	11.444	8.525
2000	 9	 7	24	1.723	1.023	1.476
2000	 9	 8	24	0.000	0.000	0.000
2000	 9	 9	24	0.000	0.000	0.000
2000	 9	10	24	0.000	0.000	0.000
2000	 9	11	24	0.000	0.000	0.000
2000	 9	12	24	0.000	0.000	0.000
2000	 9	13	24	3.093	1.392	2.492
2000	 9	14	24	0.000	0.000	0.000
2000	 9	15	24	0.000	0.000	0.000
2000	 9	16	24	2.491	1.510	2.145
2000	 9	17	24	1.061	0.391	0.824
2000	 9	18	24	0.000	0.000	0.000
2000	 9	19	24	0.000	0.000	0.000
2000	 9	20	24	0.007	0.000	0.005
2000	 9	21	24	2.914	2.271	2.687
2000	 9	22	24	0.000	0.000	0.000
2000	 9	23	24	0.000	0.000	0.000
2000	 9	24	24	0.000	0.000	0.000
2000	 9	25	24	0.000	0.000	0.000
2000	 9	26	24	0.000	0.000	0.000
2000	 9	27	24	0.873	0.125	0.609
2000	 9	28	24	0.300	0.009	0.197
2000	 9	29	24	0.000	0.000	0.000
2000	 9	30	24	0.000	0.000	0.000
2000	10	 1	24	16.555	30.643	21.530
2000	10	 2	24	1.000	0.168	0.706
2000	10	 3	24	0.965	0.861	0.928
2000	10	 4	24	0.353	0.058	0.249
2000	10	 5	24	4.286	4.341	4.305
2000	10	 6	24	8.654	7.103	8.106
2000	10	 7	24	20.063	16.930	18.957
2000	10	 8	24	3.088	2.041	2.718
2000	10	 9	24	0.805	0.624	0.741
2000	10	10	24	0.401	0.132	0.306
2000	10	11	24	1.166	0.991	1.104
2000	10	12	24	0.317	0.128	0.250
2000	10	13	24	0.172	0.000	0.111
2000	10	14	24	0.001	0.000	0.000
2000	10	15	24	0.000	0.000	0.000
2000	10	16	24	0.000	0.000	0.000
2000	10	17	24	0.627	0.444	0.563
2000	10	18	24	6.668	10.330	7.961
2000	10	19	24	0.105	0.000	0.068
2000	10	20	24	0.000	0.045	0.016
2000	10	21	24	0.000	0.000	0.000
2000	10	22	24	0.000	0.000	0.000
2000	10	23	24	0.288	0.317	0.298
2000	10	24	24	0.516	0.364	0.462
2000	10	25	24	2.240	2.093	2.188
2000	10	26	24	6.585	6.196	6.447
2000	10	27	24	1.674	1.565	1.635
2000	10	28	24	0.417	0.528	0.456
2000	10	29	24	0.001	0.000	0.001
2000	10	30	24	0.000	0.000	0.000
2000	10	31	24	0.394	0.326	0.370
2000	11	 1	24	0.338	0.114	0.259
2000	11	 2	24	0.000	0.000	0.000
2000	11	 3	24	6.681	7.519	6.977
2000	11	 4	24	0.048	0.000	0.031
2000	11	 5	24	0.000	0.000	0.000
2000	11	 6	24	0.553	1.292	0.814
2000	11	 7	24	3.515	3.609	3.548
2000	11	 8	24	0.000	0.000	0.000
2000	11	 9	24	0.000	0.000	0.000
2000	11	10	24	0.000	0.000	0.000
2000	11	11	24	0.000	0.000	0.000
2000	11	12	24	0.000	0.000	0.000
2000	11	13	24	0.000	0.000	0.000
2000	11	14	24	5.167	4.526	4.941
2000	11	15	24	0.663	0.451	0.588
2000	11	16	24	1.112	1.899	1.390
2000	11	17	24	5.674	4.389	5.220
2000	11	18	24	0.000	0.000	0.000
2000	11	19	24	0.000	0.000	0.000
2000	11	20	24	1.338	1.281	1.318
2000	11	21	24	1.424	2.134	1.675
2000	11	22	24	0.000	0.000	0.000
2000	11	23	24	0.000	0.000	0.000
2000	11	24	24	7.464	9.066	8.030
2000	11	25	24	6.293	5.648	6.066
2000	11	26	24	4.173	5.333	4.582
2000	11	27	24	1.748	1.227	1.564
2000	11	28	24	1.741	1.679	1.719
2000	11	29	24	0.049	0.000	0.031
2000	11	30	24	0.000	0.000	0.000
2000	12	 1	24	0.000	0.000	0.000
2000	12	 2	24	0.000	0.000	0.000
2000	12	 3	24	0.000	0.000	0.000
2000	12	 4	24	0.090	0.007	0.061
2000	12	 5	24	0.117	0.655	0.307
2000	12	 6	24	0.000	0.000	0.000
2000	12	 7	24	0.012	0.000	0.007
2000	12	 8	24	1.134	1.397	1.227
2000	12	 9	24	0.000	0.000	0.000
2000	12	10	24	4.042	4.051	4.045
2000	12	11	24	4.165	7.300	5.272
2000	12	12	24	3.571	2.071	3.041
2000	12	13	24	0.154	0.036	0.112
2000	12	14	24	2.734	4.707	3.431
2000	12	15	24	9.278	7.986	8.821
2000	12	16	24	6.010	4.120	5.342
2000	12	17	24	0.001	0.000	0.001
2000	12	18	24	0.000	0.000	0.000
2000	12	19	24	0.000	0.000	0.000
2000	12	20	24	0.000	0.000	0.000
2000	12	21	24	0.000	0.000	0.000
2000	12	22	24	0.000	0.000	0.000
2000	12	23	24	0.000	0.000	0.000
2000	12	24	24	0.000	0.000	0.000
2000	12	25	24	2.036	1.114	1.710
2000	12	26	24	0.000	0.000	0.000
2000	12	27	24	0.000	0.000	0.000
2000	12	28	24	1.103	1.344	1.188
2000	12	29	24	1.303	0.363	0.971
2000	12	30	24	6.570	4.910	5.984
2000	12	31	24	1.251	1.602	1.375
2001	 1	 1	24	1.940	2.305	2.069
2001	 1	 2	24	2.362	2.077	2.261
2001	 1	 3	24	0.000	0.000	0.000
2001	 1	 4	24	1.027	0.634	0.889
2001	 1	 5	24	10.623	23.155	15.048
2001	 1	 6	24	1.380	1.263	1.339
2001	 1	 7	24	0.000	0.000	0.000
2001	 1	 8	24	0.000	0.000	0.000
2001	 1	 9	24	0.407	0.000	0.263
2001	 1	10	24	2.641	3.007	2.770
2001	 1	11	24	0.350	0.419	0.374
2001	 1	12	24	0.011	0.000	0.007
2001	 1	13	24	0.000	0.000	0.000
