YY	MM	DD	HH	"1"	"2"	tot_average
gebildeter Direktabfluss in mm je Zone (QD)soil_model
--	--	--	--	0.6468891	0.3531109	1.0000
2000	 8	 1	24	0.00000	0.00000	0.00000
2000	 8	 2	24	0.00000	0.00000	0.00000
2000	 8	 3	24	0.00000	0.00000	0.00000
2000	 8	 4	24	0.00000	0.00000	0.00000
2000	 8	 5	24	0.00000	0.00000	0.00000
2000	 8	 6	24	0.00000	0.00000	0.00000
2000	 8	 7	24	0.00000	0.00000	0.00000
2000	 8	 8	24	0.00000	0.00000	0.00000
2000	 8	 9	24	0.00000	0.00000	0.00000
2000	 8	10	24	0.00000	0.00000	0.00000
2000	 8	11	24	0.00000	0.00000	0.00000
2000	 8	12	24	0.00000	0.00000	0.00000
2000	 8	13	24	0.00000	0.00000	0.00000
2000	 8	14	24	0.00000	0.00000	0.00000
2000	 8	15	24	0.00000	0.00000	0.00000
2000	 8	16	24	0.00000	0.00000	0.00000
2000	 8	17	24	0.00000	0.00000	0.00000
2000	 8	18	24	0.00000	0.00000	0.00000
2000	 8	19	24	0.00000	0.00000	0.00000
2000	 8	20	24	0.00481	0.00000	0.00311
2000	 8	21	24	0.05060	0.03984	0.04680
2000	 8	22	24	0.02735	0.02154	0.02530
2000	 8	23	24	0.01479	0.01164	0.01368
2000	 8	24	24	0.00799	0.00629	0.00739
2000	 8	25	24	0.00432	0.00340	0.00400
2000	 8	26	24	0.00234	0.00184	0.00216
2000	 8	27	24	0.00126	0.00099	0.00117
2000	 8	28	24	0.00068	0.00054	0.00063
2000	 8	29	24	0.00037	0.00029	0.00034
2000	 8	30	24	0.00020	0.00016	0.00018
2000	 8	31	24	0.00011	0.00008	0.00010
2000	 9	 1	24	0.00006	0.00005	0.00005
2000	 9	 2	24	0.00003	0.00002	0.00003
2000	 9	 3	24	0.06268	0.12884	0.08604
2000	 9	 4	24	0.03389	0.06965	0.04652
2000	 9	 5	24	0.01832	0.03766	0.02515
2000	 9	 6	24	0.00990	0.02036	0.01360
2000	 9	 7	24	0.00535	0.01101	0.00735
2000	 9	 8	24	0.00289	0.00595	0.00397
2000	 9	 9	24	0.00156	0.00322	0.00215
2000	 9	10	24	0.00085	0.00174	0.00116
2000	 9	11	24	0.00046	0.00094	0.00063
2000	 9	12	24	0.00025	0.00051	0.00034
2000	 9	13	24	0.00013	0.00027	0.00018
2000	 9	14	24	0.00007	0.00015	0.00010
2000	 9	15	24	0.00004	0.00008	0.00005
2000	 9	16	24	0.00002	0.00004	0.00003
2000	 9	17	24	0.00001	0.00002	0.00002
2000	 9	18	24	0.00001	0.00001	0.00001
2000	 9	19	24	0.00000	0.00001	0.00000
2000	 9	20	24	0.00000	0.00000	0.00000
2000	 9	21	24	0.00000	0.00000	0.00000
2000	 9	22	24	0.00000	0.00000	0.00000
2000	 9	23	24	0.00000	0.00000	0.00000
2000	 9	24	24	0.00000	0.00000	0.00000
2000	 9	25	24	0.00000	0.00000	0.00000
2000	 9	26	24	0.00000	0.00000	0.00000
2000	 9	27	24	0.00000	0.00000	0.00000
2000	 9	28	24	0.00000	0.00000	0.00000
2000	 9	29	24	0.00000	0.00000	0.00000
2000	 9	30	24	0.00000	0.00000	0.00000
2000	10	 1	24	0.02062	0.11592	0.05427
2000	10	 2	24	0.01115	0.06267	0.02934
2000	10	 3	24	0.00603	0.03388	0.01586
2000	10	 4	24	0.00326	0.01832	0.00858
2000	10	 5	24	0.00176	0.00990	0.00464
2000	10	 6	24	0.00096	0.00535	0.00251
2000	10	 7	24	0.05935	0.02477	0.04714
2000	10	 8	24	0.03208	0.01339	0.02548
2000	10	 9	24	0.01735	0.00724	0.01378
2000	10	10	24	0.00938	0.00391	0.00745
2000	10	11	24	0.00507	0.00212	0.00403
