YY	MM	DD	HH	"1"	"2"	tot_average
gebildeter Gesamtabfluss in mm je Zone (Summe aus QBB, QB, QI und QD)soil_model
--	--	--	--	0.6468891	0.3531109	1.0000
2000	 8	 1	24	0.51394	0.63571	0.55694
2000	 8	 2	24	0.50115	0.61693	0.54203
2000	 8	 3	24	0.48986	0.59945	0.52856
2000	 8	 4	24	0.47963	0.58312	0.51618
2000	 8	 5	24	0.47032	0.56768	0.50470
2000	 8	 6	24	0.46175	0.55313	0.49402
2000	 8	 7	24	0.45435	0.54159	0.48516
2000	 8	 8	24	0.44805	0.52936	0.47676
2000	 8	 9	24	0.44097	0.51670	0.46771
2000	 8	10	24	0.43422	0.50467	0.45909
2000	 8	11	24	0.42791	0.49323	0.45097
2000	 8	12	24	0.42173	0.48231	0.44312
2000	 8	13	24	0.41577	0.47190	0.43559
2000	 8	14	24	0.41002	0.46195	0.42836
2000	 8	15	24	0.40448	0.45243	0.42141
2000	 8	16	24	0.40320	0.48839	0.43328
2000	 8	17	24	0.39844	0.48852	0.43025
2000	 8	18	24	0.39340	0.48296	0.42503
2000	 8	19	24	0.38846	0.47568	0.41926
2000	 8	20	24	0.42955	0.46700	0.44277
2000	 8	21	24	2.12287	0.94085	1.70549
2000	 8	22	24	1.66647	1.09535	1.46480
2000	 8	23	24	1.32547	1.04752	1.22732
2000	 8	24	24	1.08490	0.95042	1.03742
2000	 8	25	24	0.91818	0.87446	0.90274
2000	 8	26	24	0.79856	0.81755	0.80527
2000	 8	27	24	0.70966	0.76878	0.73054
2000	 8	28	24	0.68115	0.72819	0.69776
2000	 8	29	24	0.62215	0.69436	0.64765
2000	 8	30	24	0.57485	0.66569	0.60693
2000	 8	31	24	0.53796	0.64053	0.57418
2000	 9	 1	24	0.51527	0.61983	0.55219
2000	 9	 2	24	0.49866	0.61446	0.53955
2000	 9	 3	24	3.15559	2.76293	3.01693
2000	 9	 4	24	2.34333	2.39237	2.36064
2000	 9	 5	24	1.79077	2.00930	1.86793
2000	 9	 6	24	2.03487	2.45320	2.18259
2000	 9	 7	24	1.60719	2.22346	1.82480
2000	 9	 8	24	1.29802	1.87021	1.50007
2000	 9	 9	24	1.08387	1.64969	1.28367
2000	 9	10	24	0.92957	1.50937	1.13430
2000	 9	11	24	0.81549	1.40299	1.02294
2000	 9	12	24	0.72931	1.30745	0.93346
2000	 9	13	24	0.66338	1.22549	0.86187
2000	 9	14	24	0.61342	1.15431	0.80441
2000	 9	15	24	0.57316	1.09041	0.75581
2000	 9	16	24	0.54124	1.03602	0.71595
2000	 9	17	24	0.51648	0.98969	0.68357
2000	 9	18	24	0.49580	0.94873	0.65574
2000	 9	19	24	0.47868	0.91240	0.63183
2000	 9	20	24	0.46422	0.87994	0.61102
2000	 9	21	24	0.45182	0.85067	0.59266
2000	 9	22	24	0.44209	0.82507	0.57732
2000	 9	23	24	0.43265	0.80024	0.56245
2000	 9	24	24	0.42423	0.77655	0.54864
2000	 9	25	24	0.41667	0.75378	0.53571
2000	 9	26	24	0.40978	0.73250	0.52374
2000	 9	27	24	0.40338	0.71256	0.51255
2000	 9	28	24	0.39752	0.69393	0.50218
2000	 9	29	24	0.39187	0.67636	0.49233
2000	 9	30	24	0.38646	0.65953	0.48288
2000	10	 1	24	1.16122	1.54802	1.29780
2000	10	 2	24	1.01878	1.81459	1.29979
2000	10	 3	24	0.86442	1.71446	1.16458
2000	10	 4	24	0.74837	1.56984	1.03844
2000	10	 5	24	0.78545	1.47845	1.03016
2000	10	 6	24	1.53960	1.75803	1.61673
2000	10	 7	24	4.26572	2.95810	3.80399
2000	10	 8	24	3.12415	2.80485	3.01140
2000	10	 9	24	2.33401	2.36168	2.34378
2000	10	10	24	1.81698	2.06581	1.90484
2000	10	11	24	1.46621	1.85106	1.60210
2000	10	12	24	1.21751	1.68487	1.38254
2000	10	13	24	1.03444	1.55042	1.21664
2000	10	14	24	0.89652	1.43560	1.08687
2000	10	15	24	0.79114	1.34107	0.98533
2000	10	16	24	0.70921	1.26176	0.90432
2000	10	17	24	0.64564	1.19412	0.83931
2000	10	18	24	0.74908	1.14120	0.88754
2000	10	19	24	0.68942	1.26423	0.89239
2000	10	20	24	0.63096	1.21253	0.83632
2000	10	21	24	0.58530	1.15739	0.78731
2000	10	22	24	0.54928	1.10835	0.74669
2000	10	23	24	0.52046	1.06390	0.71236
2000	10	24	24	0.49740	1.02082	0.68223
2000	10	25	24	0.47875	0.98147	0.65627
2000	10	26	24	0.60089	0.94611	0.72280
2000	10	27	24	0.58157	0.98246	0.72313
2000	10	28	24	0.54566	0.94970	0.68833
2000	10	29	24	0.51563	0.91697	0.65735
2000	10	30	24	0.49106	0.88595	0.63050
2000	10	31	24	0.47078	0.85562	0.60667
2000	11	 1	24	0.45405	0.82668	0.58563
2000	11	 2	24	0.44002	0.79965	0.56701
2000	11	 3	24	0.52961	0.77419	0.61598
2000	11	 4	24	0.51601	0.83352	0.62813
2000	11	 5	24	0.48919	0.81499	0.60423
2000	11	 6	24	0.46623	0.79202	0.58127
2000	11	 7	24	0.46645	0.76774	0.57284
2000	11	 8	24	0.45048	0.77526	0.56516
2000	11	 9	24	0.43391	0.75087	0.54583
2000	11	10	24	0.42003	0.72756	0.52862
2000	11	11	24	0.40825	0.70560	0.51324
2000	11	12	24	0.39814	0.68490	0.49940
2000	11	13	24	0.38937	0.66535	0.48682
2000	11	14	24	0.39320	0.64688	0.48278
2000	11	15	24	0.38927	0.63907	0.47748
2000	11	16	24	0.38182	0.62220	0.46670
2000	11	17	24	0.52064	0.60737	0.55126
2000	11	18	24	0.50601	0.62546	0.54819
2000	11	19	24	0.47380	0.61204	0.52262
2000	11	20	24	0.44712	0.59650	0.49987
2000	11	21	24	0.42536	0.58342	0.48117
2000	11	22	24	0.40764	0.56989	0.46493
2000	11	23	24	0.39261	0.55580	0.45023
2000	11	24	24	0.73810	0.58730	0.68486
2000	11	25	24	1.16144	0.76197	1.02038
2000	11	26	24	1.26329	0.92460	1.14369
2000	11	27	24	1.06731	0.95108	1.02627
2000	11	28	24	0.91264	0.92161	0.91581
2000	11	29	24	0.78343	0.86292	0.81150
2000	11	30	24	0.68580	0.81015	0.72971
2000	12	 1	24	0.61076	0.76522	0.66531
2000	12	 2	24	0.55253	0.72786	0.61445
2000	12	 3	24	0.50674	0.69641	0.57371
2000	12	 4	24	0.47038	0.66957	0.54071
2000	12	 5	24	0.44112	0.64547	0.51328
2000	12	 6	24	0.41746	0.62401	0.49040
2000	12	 7	24	0.39820	0.60400	0.47087
