YY	MM	DD	HH	"1"	"2"	tot_average
Bestandesniederschlag_in_mm_interception_model
--	--	--	--	0.6468891	0.3531109	1.0000
2000	 8	 1	24	0.00000	0.00000	0.00000
2000	 8	 2	24	0.04628	0.03403	0.04195
2000	 8	 3	24	0.00989	0.07322	0.03225
2000	 8	 4	24	0.00000	0.00000	0.00000
2000	 8	 5	24	0.00000	0.00000	0.00000
2000	 8	 6	24	0.46624	1.09364	0.68778
2000	 8	 7	24	1.10026	1.03953	1.07881
2000	 8	 8	24	0.00000	0.00000	0.00000
2000	 8	 9	24	0.00000	0.00000	0.00000
2000	 8	10	24	0.08952	0.00403	0.05933
2000	 8	11	24	0.00000	0.00000	0.00000
2000	 8	12	24	0.00000	0.00000	0.00000
2000	 8	13	24	0.00000	0.00000	0.00000
2000	 8	14	24	0.00000	0.00000	0.00000
2000	 8	15	24	2.27932	6.49099	3.76651
2000	 8	16	24	0.00000	0.00000	0.00000
2000	 8	17	24	0.01420	0.00115	0.00959
2000	 8	18	24	0.02644	0.00485	0.01882
2000	 8	19	24	0.00680	0.00000	0.00440
2000	 8	20	24	10.60440	4.64491	8.50004
2000	 8	21	24	17.32251	18.22820	17.64232
2000	 8	22	24	0.04022	0.01062	0.02977
2000	 8	23	24	0.00000	0.00000	0.00000
2000	 8	24	24	0.00000	0.00000	0.00000
2000	 8	25	24	0.00000	0.00000	0.00000
2000	 8	26	24	0.00000	0.00000	0.00000
2000	 8	27	24	0.00000	0.00000	0.00000
2000	 8	28	24	2.00158	0.15423	1.34926
2000	 8	29	24	0.00000	0.00000	0.00000
2000	 8	30	24	0.00000	0.00000	0.00000
2000	 8	31	24	0.01921	0.03262	0.02395
2000	 9	 1	24	1.62292	2.74207	2.01810
2000	 9	 2	24	1.69261	1.46675	1.61286
2000	 9	 3	24	20.73532	30.23949	24.09135
2000	 9	 4	24	2.30617	1.75133	2.11025
2000	 9	 5	24	0.58399	0.22827	0.45838
2000	 9	 6	24	6.30233	10.90824	7.92873
2000	 9	 7	24	0.44476	0.09869	0.32256
2000	 9	 8	24	0.00000	0.00000	0.00000
2000	 9	 9	24	0.00000	0.00000	0.00000
2000	 9	10	24	0.00000	0.00000	0.00000
2000	 9	11	24	0.00000	0.00000	0.00000
2000	 9	12	24	0.00000	0.00000	0.00000
2000	 9	13	24	1.14828	0.19509	0.81170
2000	 9	14	24	0.00000	0.00000	0.00000
2000	 9	15	24	0.00000	0.00000	0.00000
2000	 9	16	24	0.82047	0.25612	0.62119
2000	 9	17	24	0.19059	0.04428	0.13893
2000	 9	18	24	0.00000	0.00000	0.00000
2000	 9	19	24	0.00000	0.00000	0.00000
2000	 9	20	24	0.00217	0.00000	0.00140
2000	 9	21	24	1.07139	0.62944	0.91533
2000	 9	22	24	0.00000	0.00000	0.00000
2000	 9	23	24	0.00000	0.00000	0.00000
2000	 9	24	24	0.00000	0.00000	0.00000
2000	 9	25	24	0.00000	0.00000	0.00000
2000	 9	26	24	0.00000	0.00000	0.00000
