YY	MM	DD	HH	"1"	"2"	tot_average
gebildeter Interflow in mm je Zone (Summe aus QBB, QB und QI)soil_model
--	--	--	--	0.6468891	0.3531109	1.0000
2000	 8	 1	24	0.51394	0.63571	0.55694
2000	 8	 2	24	0.50115	0.61693	0.54203
2000	 8	 3	24	0.48986	0.59945	0.52856
2000	 8	 4	24	0.47963	0.58312	0.51618
2000	 8	 5	24	0.47032	0.56768	0.50470
2000	 8	 6	24	0.46175	0.55313	0.49402
2000	 8	 7	24	0.45435	0.54159	0.48516
2000	 8	 8	24	0.44805	0.52936	0.47676
2000	 8	 9	24	0.44097	0.51670	0.46771
2000	 8	10	24	0.43422	0.50467	0.45909
2000	 8	11	24	0.42791	0.49323	0.45097
2000	 8	12	24	0.42173	0.48231	0.44312
2000	 8	13	24	0.41577	0.47190	0.43559
2000	 8	14	24	0.41002	0.46195	0.42836
2000	 8	15	24	0.40448	0.45243	0.42141
2000	 8	16	24	0.40320	0.48839	0.43328
2000	 8	17	24	0.39844	0.48852	0.43025
2000	 8	18	24	0.39340	0.48296	0.42503
2000	 8	19	24	0.38846	0.47568	0.41926
2000	 8	20	24	0.42474	0.46700	0.43966
2000	 8	21	24	2.07228	0.90102	1.65869
2000	 8	22	24	1.63912	1.07381	1.43950
2000	 8	23	24	1.31068	1.03588	1.21364
2000	 8	24	24	1.07691	0.94413	1.03002
2000	 8	25	24	0.91386	0.87106	0.89875
2000	 8	26	24	0.79623	0.81571	0.80311
2000	 8	27	24	0.70840	0.76779	0.72937
2000	 8	28	24	0.68047	0.72765	0.69713
2000	 8	29	24	0.62178	0.69407	0.64731
2000	 8	30	24	0.57465	0.66553	0.60674
2000	 8	31	24	0.53786	0.64044	0.57408
2000	 9	 1	24	0.51521	0.61979	0.55214
2000	 9	 2	24	0.49863	0.61443	0.53952
2000	 9	 3	24	3.09291	2.63409	2.93089
2000	 9	 4	24	2.30944	2.32272	2.31413
2000	 9	 5	24	1.77245	1.97164	1.84278
2000	 9	 6	24	2.02496	2.43284	2.16899
2000	 9	 7	24	1.60183	2.21246	1.81745
2000	 9	 8	24	1.29513	1.86426	1.49609
2000	 9	 9	24	1.08231	1.64647	1.28152
2000	 9	10	24	0.92872	1.50763	1.13314
2000	 9	11	24	0.81503	1.40205	1.02232
2000	 9	12	24	0.72906	1.30694	0.93312
2000	 9	13	24	0.66325	1.22521	0.86168
2000	 9	14	24	0.61335	1.15416	0.80431
2000	 9	15	24	0.57312	1.09033	0.75575
2000	 9	16	24	0.54122	1.03597	0.71593
2000	 9	17	24	0.51647	0.98966	0.68356
2000	 9	18	24	0.49580	0.94871	0.65573
2000	 9	19	24	0.47868	0.91239	0.63183
2000	 9	20	24	0.46422	0.87993	0.61101
2000	 9	21	24	0.45182	0.85067	0.59266
2000	 9	22	24	0.44209	0.82507	0.57732
2000	 9	23	24	0.43264	0.80024	0.56245
2000	 9	24	24	0.42423	0.77655	0.54864
2000	 9	25	24	0.41667	0.75378	0.53571
2000	 9	26	24	0.40978	0.73249	0.52374
2000	 9	27	24	0.40338	0.71256	0.51255
2000	 9	28	24	0.39752	0.69393	0.50218
2000	 9	29	24	0.39187	0.67636	0.49233
2000	 9	30	24	0.38646	0.65953	0.48288
2000	10	 1	24	1.14059	1.43211	1.24353
2000	10	 2	24	1.00763	1.75192	1.27045
2000	10	 3	24	0.85839	1.68058	1.14872
2000	10	 4	24	0.74511	1.55153	1.02986
2000	10	 5	24	0.78369	1.46855	1.02552
2000	10	 6	24	1.53864	1.75268	1.61422
2000	10	 7	24	4.20637	2.93334	3.75685
2000	10	 8	24	3.09207	2.79146	2.98592
2000	10	 9	24	2.31666	2.35444	2.33000
2000	10	10	24	1.80760	2.06190	1.89740
2000	10	11	24	1.46114	1.84895	1.59808
2000	10	12	24	1.21476	1.68373	1.38036
2000	10	13	24	1.03296	1.54981	1.21547
2000	10	14	24	0.89572	1.43526	1.08624
