YY	MM	DD	HH	"1"	"2"	tot_average
snow_melt_(effective_outflow_from_snow_cover)___snow_model
--	--	--	--	0.6468891	0.3531109	1.0000
2000	 8	 1	24	0.0000	0.0000	0.0000
2000	 8	 2	24	0.4047	0.3918	0.4002
2000	 8	 3	24	0.1068	0.8618	0.3734
2000	 8	 4	24	0.0000	0.0000	0.0000
2000	 8	 5	24	0.0000	0.0000	0.0000
2000	 8	 6	24	2.4536	3.9327	2.9759
2000	 8	 7	24	3.3036	3.1606	3.2531
2000	 8	 8	24	0.0000	0.0000	0.0000
2000	 8	 9	24	0.0000	0.0000	0.0000
2000	 8	10	24	0.7467	0.0408	0.4974
2000	 8	11	24	0.0000	0.0000	0.0000
2000	 8	12	24	0.0000	0.0000	0.0000
2000	 8	13	24	0.0000	0.0000	0.0000
2000	 8	14	24	0.0000	0.0000	0.0000
2000	 8	15	24	4.9718	9.8030	6.6778
2000	 8	16	24	0.0000	0.0000	0.0000
2000	 8	17	24	0.1233	0.0110	0.0837
2000	 8	18	24	0.2118	0.0492	0.1544
2000	 8	19	24	0.0591	0.0000	0.0382
2000	 8	20	24	13.6509	7.9569	11.6403
2000	 8	21	24	20.3678	21.5402	20.7818
2000	 8	22	24	0.3491	0.1123	0.2655
2000	 8	23	24	0.0000	0.0000	0.0000
2000	 8	24	24	0.0000	0.0000	0.0000
2000	 8	25	24	0.0000	0.0000	0.0000
2000	 8	26	24	0.0000	0.0000	0.0000
2000	 8	27	24	0.0000	0.0000	0.0000
2000	 8	28	24	4.6560	1.3155	3.4764
2000	 8	29	24	0.0000	0.0000	0.0000
2000	 8	30	24	0.0000	0.0000	0.0000
2000	 8	31	24	0.1667	0.3705	0.2387
2000	 9	 1	24	4.2857	5.9285	4.8658
2000	 9	 2	24	3.9315	3.5785	3.8069
2000	 9	 3	24	22.2451	31.6770	25.5756
2000	 9	 4	24	2.5946	2.0479	2.4015
2000	 9	 5	24	0.8653	0.4733	0.7269
2000	 9	 6	24	6.9320	11.4437	8.5251
2000	 9	 7	24	1.7233	1.0230	1.4760
2000	 9	 8	24	0.0000	0.0000	0.0000
2000	 9	 9	24	0.0000	0.0000	0.0000
2000	 9	10	24	0.0000	0.0000	0.0000
2000	 9	11	24	0.0000	0.0000	0.0000
2000	 9	12	24	0.0000	0.0000	0.0000
2000	 9	13	24	3.0929	1.3924	2.4924
2000	 9	14	24	0.0000	0.0000	0.0000
2000	 9	15	24	0.0000	0.0000	0.0000
2000	 9	16	24	2.4914	1.5104	2.1450
2000	 9	17	24	1.0607	0.3913	0.8243
2000	 9	18	24	0.0000	0.0000	0.0000
2000	 9	19	24	0.0000	0.0000	0.0000
2000	 9	20	24	0.0071	0.0000	0.0046
2000	 9	21	24	2.9139	2.2711	2.6869
2000	 9	22	24	0.0000	0.0000	0.0000
2000	 9	23	24	0.0000	0.0000	0.0000
2000	 9	24	24	0.0000	0.0000	0.0000
2000	 9	25	24	0.0000	0.0000	0.0000
2000	 9	26	24	0.0000	0.0000	0.0000
2000	 9	27	24	0.8733	0.1255	0.6092
2000	 9	28	24	0.2999	0.0088	0.1971
2000	 9	29	24	0.0000	0.0000	0.0000
2000	 9	30	24	0.0000	0.0000	0.0000
2000	10	 1	24	16.5548	30.6432	21.5295
2000	10	 2	24	0.9998	0.1680	0.7061
2000	10	 3	24	0.9645	0.8607	0.9279
2000	10	 4	24	0.3534	0.0575	0.2489
2000	10	 5	24	4.2858	4.3415	4.3054
2000	10	 6	24	8.6538	7.1032	8.1062
2000	10	 7	24	20.0633	16.9302	18.9570
2000	10	 8	24	3.0881	2.0411	2.7184
2000	10	 9	24	0.8051	0.6241	0.7412
2000	10	10	24	0.4014	0.1325	0.3064
2000	10	11	24	1.1665	0.9907	1.1044
2000	10	12	24	0.3168	0.1279	0.2501
2000	10	13	24	0.1720	0.0000	0.1113
2000	10	14	24	0.0006	0.0000	0.0004
2000	10	15	24	0.0000	0.0000	0.0000
2000	10	16	24	0.0000	0.0000	0.0000
2000	10	17	24	0.6274	0.4442	0.5628
2000	10	18	24	6.6681	10.3299	7.9611
2000	10	19	24	0.1052	0.0000	0.0680
2000	10	20	24	0.0000	0.0452	0.0160
2000	10	21	24	0.0000	0.0000	0.0000
2000	10	22	24	0.0000	0.0000	0.0000
2000	10	23	24	0.2878	0.3172	0.2982
2000	10	24	24	0.5160	0.3641	0.4624
2000	10	25	24	2.2395	2.0927	2.1877
2000	10	26	24	6.5848	6.1959	6.4475
2000	10	27	24	1.6735	1.5651	1.6352
