YY	MM	DD	HH	"1"	"2"	tot_average

--	--	--	--	0.6468891	0.3531109	1.0000
2000	 8	 1	24	6648.194	5548.942	6260.036
2000	 8	 2	24	4375.866	4292.318	4346.364
2000	 8	 3	24	5091.543	4614.780	4923.193
2000	 8	 4	24	5021.729	4738.525	4921.727
2000	 8	 5	24	6664.364	6651.362	6659.772
2000	 8	 6	24	2328.243	2044.182	2227.938
2000	 8	 7	24	2911.118	2818.579	2878.441
2000	 8	 8	24	3363.518	3074.558	3261.483
2000	 8	 9	24	4039.211	4066.857	4048.973
2000	 8	10	24	4248.530	4090.008	4192.554
2000	 8	11	24	4997.392	4982.993	4992.308
2000	 8	12	24	4757.794	4814.765	4777.911
2000	 8	13	24	5937.185	5857.629	5909.093
2000	 8	14	24	6151.919	6165.530	6156.725
2000	 8	15	24	4331.187	3931.943	4190.209
2000	 8	16	24	5919.112	5816.670	5882.939
2000	 8	17	24	6070.761	5906.591	6012.791
2000	 8	18	24	3306.734	3181.355	3262.461
2000	 8	19	24	4471.931	4309.588	4414.606
2000	 8	20	24	5974.828	5826.654	5922.506
2000	 8	21	24	4890.337	4835.312	4870.907
2000	 8	22	24	3421.921	3580.463	3477.904
2000	 8	23	24	4632.668	4547.830	4602.711
2000	 8	24	24	5002.227	4673.222	4886.052
2000	 8	25	24	2693.377	2547.499	2641.866
2000	 8	26	24	6358.832	6158.267	6288.010
2000	 8	27	24	6256.340	6041.597	6180.512
2000	 8	28	24	1495.475	1530.379	1507.800
2000	 8	29	24	3869.992	3187.474	3628.987
2000	 8	30	24	3435.029	3209.827	3355.508
2000	 8	31	24	3088.593	2978.835	3049.836
2000	 9	 1	24	3286.943	3272.095	3281.700
2000	 9	 2	24	3218.996	2760.948	3057.254
2000	 9	 3	24	1278.800	1180.846	1244.212
2000	 9	 4	24	1303.448	1163.748	1254.118
2000	 9	 5	24	2099.424	1766.514	1981.869
2000	 9	 6	24	2753.664	2293.843	2591.296
2000	 9	 7	24	2594.188	2604.937	2597.984
2000	 9	 8	24	3374.659	3196.080	3311.601
2000	 9	 9	24	5102.521	5037.911	5079.706
2000	 9	10	24	3285.164	3152.754	3238.408
2000	 9	11	24	2878.831	2786.014	2846.056
2000	 9	12	24	4654.947	4370.169	4554.389
2000	 9	13	24	2715.987	2584.625	2669.601
2000	 9	14	24	2180.650	1947.297	2098.251
2000	 9	15	24	3445.240	3376.156	3420.846
2000	 9	16	24	2255.351	1957.263	2150.093
2000	 9	17	24	1690.060	1766.274	1716.972
2000	 9	18	24	1561.286	1397.882	1503.586
2000	 9	19	24	4059.955	2998.097	3685.001
2000	 9	20	24	3125.513	2915.955	3051.516
2000	 9	21	24	537.803	438.805	502.846
2000	 9	22	24	1353.361	1273.860	1325.288
2000	 9	23	24	4461.171	4321.540	4411.866
2000	 9	24	24	4521.326	4303.806	4444.518
2000	 9	25	24	4074.228	3610.167	3910.363
2000	 9	26	24	3435.612	3268.468	3376.592
2000	 9	27	24	3963.399	3659.443	3856.069
2000	 9	28	24	3142.316	2726.119	2995.353
2000	 9	29	24	4049.895	3838.280	3975.172
2000	 9	30	24	3951.180	3750.073	3880.167
2000	10	 1	24	2541.630	2187.920	2416.731
2000	10	 2	24	2269.603	1981.775	2167.968
2000	10	 3	24	2187.405	2090.037	2153.023
2000	10	 4	24	1173.039	911.699	1080.757
2000	10	 5	24	1447.971	1281.466	1389.176
2000	10	 6	24	333.857	330.457	332.656
2000	10	 7	24	161.723	147.849	156.824
2000	10	 8	24	727.437	729.226	728.069
2000	10	 9	24	1001.661	745.983	911.378
2000	10	10	24	885.656	604.799	786.482
2000	10	11	24	1935.188	1615.630	1822.348
2000	10	12	24	1263.347	1113.355	1210.383
2000	10	13	24	2119.246	2080.417	2105.535
2000	10	14	24	1461.392	2025.833	1660.702
2000	10	15	24	2801.688	2644.915	2746.329
2000	10	16	24	2302.244	2412.135	2341.047
2000	10	17	24	2135.485	2062.777	2109.811
2000	10	18	24	425.451	426.823	425.935
2000	10	19	24	919.415	704.599	843.561
2000	10	20	24	436.323	291.002	385.009
2000	10	21	24	2758.173	2617.842	2708.620
2000	10	22	24	2793.535	2697.010	2759.451
2000	10	23	24	2785.240	2629.508	2730.249
2000	10	24	24	1630.258	1489.375	1580.510
2000	10	25	24	1204.426	1216.281	1208.612
2000	10	26	24	1002.213	813.896	935.716
2000	10	27	24	1018.301	884.352	971.002
2000	10	28	24	977.401	693.516	877.158
2000	10	29	24	1141.508	1014.782	1096.760
2000	10	30	24	714.294	675.608	700.634
2000	10	31	24	343.071	299.513	327.690
2000	11	 1	24	1477.748	1104.747	1346.037
2000	11	 2	24	1929.431	1811.514	1887.793
2000	11	 3	24	1165.925	665.932	989.372
2000	11	 4	24	966.133	919.349	949.613
2000	11	 5	24	1136.465	998.819	1087.860
2000	11	 6	24	401.983	252.826	349.314
2000	11	 7	24	1457.989	1306.519	1404.503
2000	11	 8	24	1465.184	1025.111	1309.789
2000	11	 9	24	1236.177	1247.739	1240.260
2000	11	10	24	1809.657	1671.381	1760.830
2000	11	11	24	1727.104	1506.147	1649.081
2000	11	12	24	1140.191	1049.036	1108.003
2000	11	13	24	429.618	411.028	423.054
2000	11	14	24	402.525	393.096	399.196
2000	11	15	24	981.312	806.657	919.640
2000	11	16	24	1323.764	1006.929	1211.886
2000	11	17	24	175.350	154.487	167.983
2000	11	18	24	1656.259	1502.641	1602.015
2000	11	19	24	1772.992	1381.329	1634.692
2000	11	20	24	956.678	833.943	913.339
2000	11	21	24	238.492	161.089	211.160
2000	11	22	24	846.821	577.134	751.591
2000	11	23	24	738.438	426.036	628.125
2000	11	24	24	725.191	607.679	683.696
2000	11	25	24	188.227	153.931	176.116
2000	11	26	24	374.944	237.114	326.275
2000	11	27	24	267.387	219.154	250.355
2000	11	28	24	436.303	372.427	413.748
2000	11	29	24	1181.819	775.731	1038.425
2000	11	30	24	940.558	792.311	888.210
2000	12	 1	24	1257.674	1126.114	1211.219
2000	12	 2	24	569.348	482.556	538.701
2000	12	 3	24	1174.024	988.644	1108.565
2000	12	 4	24	929.723	514.322	783.040
2000	12	 5	24	687.871	462.803	608.397
2000	12	 6	24	1095.802	458.967	870.929
2000	12	 7	24	898.012	478.194	749.770
2000	12	 8	24	333.791	291.314	318.792
2000	12	 9	24	701.669	646.116	682.052
2000	12	10	24	609.036	476.457	562.221
2000	12	11	24	434.744	353.605	406.093
2000	12	12	24	145.669	90.072	126.037
2000	12	13	24	610.107	615.807	612.119
2000	12	14	24	611.539	490.861	568.926
2000	12	15	24	637.191	620.198	631.191
2000	12	16	24	292.709	304.391	296.834
2000	12	17	24	294.204	278.872	288.790
2000	12	18	24	1097.722	932.155	1039.258
2000	12	19	24	958.806	900.680	938.281
2000	12	20	24	1526.309	782.171	1263.546
2000	12	21	24	953.236	469.023	782.255
2000	12	22	24	1031.743	274.798	764.457
2000	12	23	24	1006.055	585.736	857.636
2000	12	24	24	1092.433	992.669	1057.205
2000	12	25	24	376.858	402.007	385.739
2000	12	26	24	469.176	272.256	399.642
2000	12	27	24	835.813	302.287	647.419
2000	12	28	24	290.568	247.648	275.412
2000	12	29	24	823.101	681.060	772.945
2000	12	30	24	574.834	443.680	528.522
2000	12	31	24	473.611	424.280	456.192
