YY	MM	DD	HH	"1"	"2"	tot_average
nach_Exposition_korrigierte_Globalstrahlung_evapotranspiration
--	--	--	--	0.6468891	0.3531109	1.0000
2000	 8	 1	24	6587.67	5534.50	6215.79
2000	 8	 2	24	4363.39	4287.14	4336.47
2000	 8	 3	24	5068.02	4607.60	4905.44
2000	 8	 4	24	4998.87	4730.46	4904.09
2000	 8	 5	24	6597.39	6622.36	6606.21
2000	 8	 6	24	2327.88	2044.18	2227.70
2000	 8	 7	24	2909.09	2817.86	2876.87
2000	 8	 8	24	3359.01	3073.32	3258.13
2000	 8	 9	24	4028.40	4062.16	4040.32
2000	 8	10	24	4234.81	4085.04	4181.92
2000	 8	11	24	4970.32	4971.76	4970.83
2000	 8	12	24	4734.68	4804.75	4759.42
2000	 8	13	24	5883.08	5836.26	5866.55
2000	 8	14	24	6088.53	6139.43	6106.50
2000	 8	15	24	4313.93	3927.14	4177.35
2000	 8	16	24	5860.86	5794.63	5837.48
2000	 8	17	24	6005.32	5882.85	5962.07
2000	 8	18	24	3300.77	3179.37	3257.90
2000	 8	19	24	4449.58	4301.94	4397.45
2000	 8	20	24	5907.05	5802.39	5870.09
2000	 8	21	24	4856.61	4822.85	4844.69
2000	 8	22	24	3413.57	3576.40	3471.07
2000	 8	23	24	4603.50	4537.37	4580.15
2000	 8	24	24	4962.29	4660.93	4855.87
2000	 8	25	24	2690.52	2546.63	2639.71
2000	 8	26	24	6257.80	6123.86	6210.50
2000	 8	27	24	6157.78	6008.30	6105.00
2000	 8	28	24	1495.48	1530.38	1507.80
2000	 8	29	24	3852.45	3184.55	3616.61
2000	 8	30	24	3423.71	3206.69	3347.08
2000	 8	31	24	3081.12	2976.55	3044.19
2000	 9	 1	24	3276.49	3268.22	3273.57
2000	 9	 2	24	3209.31	2759.09	3050.33
2000	 9	 3	24	1278.80	1180.85	1244.21
2000	 9	 4	24	1303.45	1163.75	1254.12
2000	 9	 5	24	2098.16	1766.41	1981.02
2000	 9	 6	24	2747.74	2293.00	2587.17
2000	 9	 7	24	2589.44	2603.31	2594.34
2000	 9	 8	24	3358.89	3191.70	3299.85
2000	 9	 9	24	5023.54	5011.86	5019.42
2000	 9	10	24	3269.52	3148.53	3226.80
2000	 9	11	24	2869.36	2783.12	2838.91
2000	 9	12	24	4591.14	4353.03	4507.06
2000	 9	13	24	2707.93	2582.46	2663.63
2000	 9	14	24	2177.76	1946.73	2096.18
2000	 9	15	24	3420.99	3368.57	3402.48
2000	 9	16	24	2251.47	1956.73	2147.39
2000	 9	17	24	1689.29	1765.94	1716.35
2000	 9	18	24	1560.90	1397.86	1503.33
2000	 9	19	24	4008.41	2993.76	3650.13
2000	 9	20	24	3104.64	2910.62	3036.13
2000	 9	21	24	537.80	438.80	502.85
2000	 9	22	24	1353.25	1273.86	1325.22
2000	 9	23	24	4370.68	4295.25	4344.05
2000	 9	24	24	4422.25	4276.08	4370.63
2000	 9	25	24	4003.01	3595.56	3859.14
2000	 9	26	24	3394.30	3257.66	3346.05
2000	 9	27	24	3891.50	3643.54	3803.94
2000	 9	28	24	3110.16	2720.81	2972.67
2000	 9	29	24	3963.19	3815.48	3911.03
2000	 9	30	24	3867.73	3728.41	3818.53
2000	10	 1	24	2525.08	2185.45	2405.15
2000	10	 2	24	2258.49	1979.20	2159.87
2000	10	 3	24	2177.06	2087.42	2145.41
2000	10	 4	24	1172.83	911.70	1080.62
2000	10	 5	24	1446.51	1281.28	1388.17
2000	10	 6	24	333.86	330.46	332.66
2000	10	 7	24	161.72	147.85	156.82
2000	10	 8	24	727.44	729.23	728.07
2000	10	 9	24	1001.60	745.98	911.34
2000	10	10	24	885.67	604.80	786.49
2000	10	11	24	1924.77	1614.29	1815.14
2000	10	12	24	1262.07	1113.21	1209.50
2000	10	13	24	2101.67	2076.15	2092.65
2000	10	14	24	1456.52	2022.24	1656.28
2000	10	15	24	2745.64	2631.92	2705.49
2000	10	16	24	2271.92	2402.82	2318.14
2000	10	17	24	2112.19	2057.43	2092.85
2000	10	18	24	425.45	426.82	425.94
2000	10	19	24	919.18	704.60	843.41
2000	10	20	24	436.32	291.00	385.01
2000	10	21	24	2683.11	2600.28	2653.86
2000	10	22	24	2709.99	2676.48	2698.15
2000	10	23	24	2697.37	2610.10	2666.56
2000	10	24	24	1617.82	1487.19	1571.69
2000	10	25	24	1200.86	1215.34	1205.98
2000	10	26	24	1000.93	813.79	934.85
2000	10	27	24	1016.68	884.13	969.88
2000	10	28	24	976.03	693.52	876.27
2000	10	29	24	1137.83	1014.35	1094.23
2000	10	30	24	714.21	675.61	700.58
2000	10	31	24	343.07	299.51	327.69
2000	11	 1	24	1463.55	1103.89	1336.55
2000	11	 2	24	1885.32	1802.51	1856.08
2000	11	 3	24	1160.01	665.92	985.54
2000	11	 4	24	963.34	918.73	947.58
2000	11	 5	24	1130.05	998.02	1083.43
2000	11	 6	24	401.98	252.83	349.31
2000	11	 7	24	1436.96	1303.44	1389.81
2000	11	 8	24	1443.29	1024.16	1295.29
2000	11	 9	24	1222.97	1244.95	1230.73
2000	11	10	24	1751.88	1661.94	1720.12
2000	11	11	24	1675.38	1499.10	1613.14
2000	11	12	24	1128.85	1047.32	1100.06
2000	11	13	24	429.62	411.03	423.05
2000	11	14	24	402.53	393.10	399.20
2000	11	15	24	974.03	805.97	914.69
2000	11	16	24	1297.54	1004.76	1194.16
2000	11	17	24	175.35	154.49	167.98
2000	11	18	24	1589.66	1492.52	1555.36
2000	11	19	24	1693.98	1372.52	1580.47
2000	11	20	24	947.40	832.80	906.93
2000	11	21	24	238.49	161.09	211.16
2000	11	22	24	840.59	576.90	747.48
2000	11	23	24	734.77	426.04	625.75
2000	11	24	24	721.79	607.36	681.38
2000	11	25	24	188.23	153.93	176.12
2000	11	26	24	374.95	237.11	326.28
2000	11	27	24	267.39	219.15	250.36
2000	11	28	24	436.20	372.43	413.68
2000	11	29	24	1147.96	773.99	1015.90
2000	11	30	24	925.72	790.65	878.03
2000	12	 1	24	1211.21	1119.36	1178.78
2000	12	 2	24	567.72	482.42	537.60
2000	12	 3	24	1135.13	984.11	1081.80
2000	12	 4	24	912.39	513.97	771.70
2000	12	 5	24	682.83	462.64	605.08
2000	12	 6	24	1060.40	458.70	847.93
2000	12	 7	24	881.07	477.91	738.71
2000	12	 8	24	333.79	291.31	318.79
2000	12	 9	24	695.28	645.20	677.59
2000	12	10	24	605.64	476.24	559.94
2000	12	11	24	434.29	353.60	405.80
2000	12	12	24	145.67	90.07	126.04
2000	12	13	24	606.18	615.02	609.30
2000	12	14	24	607.63	490.57	566.29
2000	12	15	24	632.26	619.35	627.70
