YY	MM	DD	HH	"1"	"2"	tot_average
Interflowspeicher in mm je Zone soil_model
--	--	--	--	0.6468891	0.3531109	1.0000
2000	 8	 1	24	0.09990	0.04084	0.07905
2000	 8	 2	24	0.07845	0.03207	0.06207
2000	 8	 3	24	0.06162	0.02520	0.04876
2000	 8	 4	24	0.04842	0.01980	0.03832
2000	 8	 5	24	0.03806	0.01556	0.03011
2000	 8	 6	24	0.02992	0.01223	0.02367
2000	 8	 7	24	0.02352	0.00962	0.01861
2000	 8	 8	24	0.01849	0.00756	0.01463
2000	 8	 9	24	0.01454	0.00595	0.01151
2000	 8	10	24	0.01144	0.00468	0.00905
2000	 8	11	24	0.00900	0.00368	0.00712
2000	 8	12	24	0.00707	0.00289	0.00560
2000	 8	13	24	0.00556	0.00228	0.00440
2000	 8	14	24	0.00438	0.00179	0.00346
2000	 8	15	24	0.00344	0.00141	0.00272
2000	 8	16	24	0.00271	0.00111	0.00214
2000	 8	17	24	0.00213	0.00087	0.00169
2000	 8	18	24	0.00168	0.00069	0.00133
2000	 8	19	24	0.00132	0.00054	0.00104
2000	 8	20	24	0.15273	0.00042	0.09895
2000	 8	21	24	6.17957	1.54857	4.54431
2000	 8	22	24	4.51944	1.83188	3.57043
2000	 8	23	24	3.28524	1.55548	2.67444
2000	 8	24	24	2.41614	1.17212	1.97686
2000	 8	25	24	1.80929	0.88168	1.48174
2000	 8	26	24	1.37193	0.66867	1.12360
2000	 8	27	24	1.04966	0.51175	0.85972
2000	 8	28	24	0.95156	0.39425	0.75477
2000	 8	29	24	0.73272	0.30522	0.58176
2000	 8	30	24	0.56707	0.23716	0.45058
2000	 8	31	24	0.44053	0.18479	0.35023
2000	 9	 1	24	0.36657	0.14860	0.28960
2000	 9	 2	24	0.30852	0.11710	0.24093
2000	 9	 3	24	9.87700	7.59907	9.07264
2000	 9	 4	24	6.91937	5.81822	6.53054
2000	 9	 5	24	4.90481	4.20778	4.65868
2000	 9	 6	24	5.82568	5.70190	5.78197
2000	 9	 7	24	4.23137	4.35373	4.27458
2000	 9	 8	24	3.09394	2.97792	3.05298
2000	 9	 9	24	2.30825	2.12512	2.24358
2000	 9	10	24	1.74604	1.56220	1.68112
2000	 9	11	24	1.33367	1.16840	1.27531
2000	 9	12	24	1.02590	0.88527	0.97625
2000	 9	13	24	0.79375	0.67697	0.75251
2000	 9	14	24	0.61618	0.52117	0.58263
2000	 9	15	24	0.47976	0.40324	0.45274
2000	 9	16	24	0.37440	0.31317	0.35278
2000	 9	17	24	0.29269	0.24392	0.27547
2000	 9	18	24	0.22912	0.19040	0.21545
2000	 9	19	24	0.17955	0.14888	0.16872
2000	 9	20	24	0.14082	0.11656	0.13225
2000	 9	21	24	0.11052	0.09136	0.10375
2000	 9	22	24	0.08678	0.07166	0.08144
2000	 9	23	24	0.06816	0.05624	0.06395
2000	 9	24	24	0.05356	0.04416	0.05024
2000	 9	25	24	0.04209	0.03469	0.03948
2000	 9	26	24	0.03309	0.02726	0.03103
2000	 9	27	24	0.02601	0.02142	0.02439
2000	 9	28	24	0.02045	0.01684	0.01918
2000	 9	29	24	0.01608	0.01324	0.01508
2000	 9	30	24	0.01265	0.01041	0.01186
2000	10	 1	24	2.80929	2.91806	2.84769
2000	10	 2	24	2.26419	3.35944	2.65094
2000	10	 3	24	1.69880	2.76591	2.07561
2000	10	 4	24	1.27685	2.11745	1.57367
2000	10	 5	24	1.41965	1.75104	1.53667
2000	10	 6	24	4.19282	2.71207	3.66995
2000	10	 7	24	13.98980	6.76138	11.43737
2000	10	 8	24	9.81331	5.21845	8.19082
2000	10	 9	24	6.91932	3.45876	5.69736
2000	10	10	24	5.03131	2.42660	4.11156
2000	10	11	24	3.74736	1.76434	3.04714
2000	10	12	24	2.83350	1.31161	2.29610
2000	10	13	24	2.16371	0.98962	1.74913
2000	10	14	24	1.66211	0.75445	1.34161
