YY	MM	DD	HH	"1"	"2"	tot_average
snow_storage_in_mm___snow_model
--	--	--	--	0.6468891	0.3531109	1.0000
2000	 8	 1	24	0.000	0.000	0.000
2000	 8	 2	24	0.000	0.000	0.000
2000	 8	 3	24	0.000	0.000	0.000
2000	 8	 4	24	0.000	0.000	0.000
2000	 8	 5	24	0.000	0.000	0.000
2000	 8	 6	24	0.000	0.000	0.000
2000	 8	 7	24	0.000	0.000	0.000
2000	 8	 8	24	0.000	0.000	0.000
2000	 8	 9	24	0.000	0.000	0.000
2000	 8	10	24	0.000	0.000	0.000
2000	 8	11	24	0.000	0.000	0.000
2000	 8	12	24	0.000	0.000	0.000
2000	 8	13	24	0.000	0.000	0.000
2000	 8	14	24	0.000	0.000	0.000
2000	 8	15	24	0.000	0.000	0.000
2000	 8	16	24	0.000	0.000	0.000
2000	 8	17	24	0.000	0.000	0.000
2000	 8	18	24	0.000	0.000	0.000
2000	 8	19	24	0.000	0.000	0.000
2000	 8	20	24	0.000	0.000	0.000
2000	 8	21	24	0.000	0.000	0.000
2000	 8	22	24	0.000	0.000	0.000
2000	 8	23	24	0.000	0.000	0.000
2000	 8	24	24	0.000	0.000	0.000
2000	 8	25	24	0.000	0.000	0.000
2000	 8	26	24	0.000	0.000	0.000
2000	 8	27	24	0.000	0.000	0.000
2000	 8	28	24	0.000	0.000	0.000
2000	 8	29	24	0.000	0.000	0.000
2000	 8	30	24	0.000	0.000	0.000
2000	 8	31	24	0.000	0.000	0.000
2000	 9	 1	24	0.000	0.000	0.000
2000	 9	 2	24	0.000	0.000	0.000
2000	 9	 3	24	0.000	0.000	0.000
2000	 9	 4	24	0.000	0.000	0.000
2000	 9	 5	24	0.000	0.000	0.000
2000	 9	 6	24	0.000	0.000	0.000
2000	 9	 7	24	0.000	0.000	0.000
2000	 9	 8	24	0.000	0.000	0.000
2000	 9	 9	24	0.000	0.000	0.000
2000	 9	10	24	0.000	0.000	0.000
2000	 9	11	24	0.000	0.000	0.000
2000	 9	12	24	0.000	0.000	0.000
2000	 9	13	24	0.000	0.000	0.000
2000	 9	14	24	0.000	0.000	0.000
2000	 9	15	24	0.000	0.000	0.000
2000	 9	16	24	0.000	0.000	0.000
2000	 9	17	24	0.000	0.000	0.000
2000	 9	18	24	0.000	0.000	0.000
2000	 9	19	24	0.000	0.000	0.000
2000	 9	20	24	0.000	0.000	0.000
