YY	MM	DD	HH	"1"	"2"	tot_average
Drainspeicher in mm je Zone soil_model
--	--	--	--	0.6468891	0.3531109	1.0000
2000	 8	 1	24	146.43359	73.30793	120.61212
2000	 8	 2	24	146.18903	73.13035	120.39121
2000	 8	 3	24	145.94951	72.95989	120.17609
2000	 8	 4	24	145.71446	72.79534	119.96592
2000	 8	 5	24	145.48441	72.63667	119.76107
2000	 8	 6	24	145.25958	72.51875	119.57400
2000	 8	 7	24	145.06941	72.37052	119.39864
2000	 8	 8	24	144.85188	72.23000	119.20830
2000	 8	 9	24	144.63934	72.09373	119.02270
2000	 8	10	24	144.43011	71.96101	118.84048
2000	 8	11	24	144.22525	71.83152	118.66223
2000	 8	12	24	144.02512	71.70485	118.48804
2000	 8	13	24	143.82846	71.58086	118.31705
2000	 8	14	24	143.63445	71.45947	118.14867
2000	 8	15	24	144.05484	74.03786	119.33109
2000	 8	16	24	143.84207	73.54292	119.01868
2000	 8	17	24	143.64978	73.24230	118.78813
2000	 8	18	24	143.46278	73.00921	118.58485
2000	 8	19	24	143.27986	72.83669	118.40561
2000	 8	20	24	150.54376	74.33267	123.63279
2000	 8	21	24	156.72662	84.78372	131.32280
2000	 8	22	24	155.74557	82.30467	129.81279
2000	 8	23	24	155.17310	81.06831	129.00589
2000	 8	24	24	154.68556	80.25693	128.40399
2000	 8	25	24	154.22212	79.55647	127.85686
2000	 8	26	24	153.81381	79.06198	127.41813
2000	 8	27	24	153.44148	78.65121	127.03222
2000	 8	28	24	153.46362	78.29432	126.92052
2000	 8	29	24	153.12677	77.95724	126.58359
2000	 8	30	24	152.80304	77.65752	126.26833
2000	 8	31	24	152.48767	77.37457	125.96442
2000	 9	 1	24	152.37801	77.58849	125.96901
2000	 9	 2	24	152.21461	77.32632	125.77074
2000	 9	 3	24	157.16631	90.60359	133.66229
2000	 9	 4	24	156.13229	86.50354	131.54562
2000	 9	 5	24	155.46632	84.00361	130.23206
