YY	MM	DD	HH	"1"	"2"	tot_average

--	--	--	--	0.6468891	0.3531109	1.0000
2000	 8	 1	24	1.622	0.856	1.352
2000	 8	 2	24	2.989	1.867	2.593
2000	 8	 3	24	1.625	0.910	1.373
2000	 8	 4	24	1.776	0.970	1.491
2000	 8	 5	24	1.671	1.189	1.501
2000	 8	 6	24	1.685	1.041	1.457
2000	 8	 7	24	1.723	0.999	1.467
2000	 8	 8	24	1.515	0.948	1.315
2000	 8	 9	24	1.626	1.183	1.470
2000	 8	10	24	2.198	1.161	1.832
2000	 8	11	24	1.585	1.072	1.404
2000	 8	12	24	1.384	0.728	1.153
2000	 8	13	24	1.627	0.760	1.321
2000	 8	14	24	1.763	0.980	1.486
2000	 8	15	24	2.233	1.182	1.862
2000	 8	16	24	1.904	1.349	1.708
2000	 8	17	24	2.312	1.512	2.030
2000	 8	18	24	1.637	1.000	1.412
2000	 8	19	24	2.286	1.593	2.041
2000	 8	20	24	2.051	1.396	1.820
2000	 8	21	24	2.423	1.679	2.160
2000	 8	22	24	1.370	0.811	1.173
2000	 8	23	24	1.650	0.848	1.366
2000	 8	24	24	1.715	1.069	1.487
2000	 8	25	24	1.932	1.247	1.690
2000	 8	26	24	2.815	2.141	2.577
2000	 8	27	24	3.677	3.341	3.559
2000	 8	28	24	1.772	0.933	1.476
2000	 8	29	24	1.598	0.619	1.252
2000	 8	30	24	1.401	0.717	1.160
2000	 8	31	24	1.645	1.022	1.425
2000	 9	 1	24	1.481	0.873	1.266
2000	 9	 2	24	3.403	2.082	2.936
2000	 9	 3	24	3.458	2.698	3.190
2000	 9	 4	24	1.962	1.455	1.783
2000	 9	 5	24	1.900	1.158	1.638
2000	 9	 6	24	2.344	1.244	1.955
2000	 9	 7	24	1.840	1.109	1.582
2000	 9	 8	24	2.343	1.200	1.940
2000	 9	 9	24	1.674	0.894	1.398
2000	 9	10	24	1.206	0.776	1.054
2000	 9	11	24	1.396	0.659	1.136
2000	 9	12	24	1.787	1.177	1.572
2000	 9	13	24	2.059	1.371	1.816
2000	 9	14	24	1.490	1.027	1.326
2000	 9	15	24	1.907	1.138	1.635
2000	 9	16	24	2.836	2.231	2.622
2000	 9	17	24	1.232	0.647	1.026
2000	 9	18	24	1.614	0.734	1.303
2000	 9	19	24	2.237	1.570	2.001
2000	 9	20	24	3.193	2.705	3.021
2000	 9	21	24	2.597	1.893	2.348
2000	 9	22	24	1.125	0.513	0.909
2000	 9	23	24	2.060	1.379	1.819
2000	 9	24	24	2.680	2.387	2.577
2000	 9	25	24	2.400	1.705	2.155
2000	 9	26	24	1.917	1.212	1.668
2000	 9	27	24	2.723	1.588	2.322
2000	 9	28	24	3.218	2.341	2.909
2000	 9	29	24	4.087	4.002	4.057
2000	 9	30	24	4.183	3.487	3.937
2000	10	 1	24	2.897	2.844	2.878
2000	10	 2	24	2.154	1.368	1.876
2000	10	 3	24	1.657	0.987	1.420
2000	10	 4	24	1.518	1.011	1.339
2000	10	 5	24	1.331	0.838	1.157
2000	10	 6	24	1.705	1.026	1.465
2000	10	 7	24	1.465	0.877	1.257
2000	10	 8	24	1.379	0.956	1.229
2000	10	 9	24	2.044	1.284	1.776
2000	10	10	24	3.632	3.070	3.434
2000	10	11	24	3.254	2.591	3.020
2000	10	12	24	1.662	1.334	1.546
2000	10	13	24	1.515	1.450	1.492
2000	10	14	24	1.589	1.323	1.495
2000	10	15	24	3.807	3.827	3.814
2000	10	16	24	3.253	3.111	3.203
2000	10	17	24	1.623	1.076	1.430
2000	10	18	24	1.157	0.855	1.050
2000	10	19	24	2.083	1.535	1.889
2000	10	20	24	2.902	2.495	2.758
2000	10	21	24	4.216	3.895	4.103
2000	10	22	24	2.586	1.602	2.239
2000	10	23	24	2.896	1.955	2.564
2000	10	24	24	3.280	2.310	2.937
2000	10	25	24	4.023	2.894	3.624
2000	10	26	24	2.738	2.146	2.529
2000	10	27	24	2.970	2.222	2.706
2000	10	28	24	3.060	2.325	2.800
2000	10	29	24	3.907	2.791	3.513
2000	10	30	24	5.176	4.032	4.772
2000	10	31	24	3.510	2.495	3.151
2000	11	 1	24	3.487	2.454	3.123
2000	11	 2	24	3.634	3.186	3.476
2000	11	 3	24	3.160	3.279	3.202
2000	11	 4	24	2.276	1.839	2.121
2000	11	 5	24	2.588	2.015	2.386
2000	11	 6	24	4.872	4.523	4.748
2000	11	 7	24	2.793	2.486	2.684
2000	11	 8	24	3.049	2.540	2.869
2000	11	 9	24	3.009	2.325	2.767
2000	11	10	24	3.145	2.332	2.858
2000	11	11	24	3.316	2.055	2.871
2000	11	12	24	4.263	3.610	4.033
2000	11	13	24	3.923	3.663	3.831
2000	11	14	24	1.838	1.451	1.701
2000	11	15	24	2.574	1.999	2.371
2000	11	16	24	2.535	2.139	2.395
2000	11	17	24	1.500	1.382	1.459
2000	11	18	24	3.040	1.827	2.612
2000	11	19	24	3.946	3.933	3.941
2000	11	20	24	2.676	2.323	2.551
2000	11	21	24	1.849	1.651	1.779
2000	11	22	24	3.600	3.042	3.403
2000	11	23	24	3.181	3.033	3.129
2000	11	24	24	2.507	2.177	2.391
2000	11	25	24	1.143	0.833	1.034
2000	11	26	24	2.916	2.641	2.819
2000	11	27	24	2.810	2.251	2.613
2000	11	28	24	3.534	2.560	3.190
2000	11	29	24	3.368	2.559	3.082
2000	11	30	24	2.513	1.630	2.201
2000	12	 1	24	2.886	2.320	2.686
2000	12	 2	24	2.450	1.827	2.230
2000	12	 3	24	2.458	1.728	2.200
2000	12	 4	24	2.727	2.223	2.549
2000	12	 5	24	3.345	2.387	3.007
2000	12	 6	24	3.647	2.593	3.275
2000	12	 7	24	3.956	2.729	3.522
2000	12	 8	24	3.586	2.421	3.175
2000	12	 9	24	2.867	1.869	2.514
2000	12	10	24	3.895	2.769	3.497
2000	12	11	24	4.247	3.386	3.943
2000	12	12	24	4.246	3.192	3.874
2000	12	13	24	5.053	3.617	4.546
2000	12	14	24	4.665	3.548	4.270
2000	12	15	24	4.554	3.602	4.218
2000	12	16	24	4.930	4.479	4.771
2000	12	17	24	2.824	2.288	2.635
2000	12	18	24	1.954	1.248	1.705
2000	12	19	24	1.137	0.897	1.052
2000	12	20	24	2.084	2.027	2.064
2000	12	21	24	2.804	2.706	2.770
2000	12	22	24	3.120	2.601	2.936
2000	12	23	24	2.704	2.066	2.479
2000	12	24	24	2.398	2.289	2.360
2000	12	25	24	1.152	1.010	1.102
2000	12	26	24	1.761	1.622	1.712
2000	12	27	24	2.814	2.104	2.563
2000	12	28	24	2.780	1.988	2.500
2000	12	29	24	2.215	1.482	1.956
2000	12	30	24	2.328	1.783	2.136
2000	12	31	24	2.548	2.237	2.439
2001	 1	 1	24	4.478	3.847	4.255
2001	 1	 2	24	4.315	2.768	3.769
2001	 1	 3	24	3.155	1.777	2.668
2001	 1	 4	24	3.564	2.831	3.305
2001	 1	 5	24	4.766	3.514	4.324
2001	 1	 6	24	4.022	3.159	3.717
2001	 1	 7	24	2.472	1.639	2.178
2001	 1	 8	24	1.586	1.255	1.469
2001	 1	 9	24	2.849	1.898	2.513
2001	 1	10	24	1.648	0.990	1.416
2001	 1	11	24	1.382	1.040	1.261
2001	 1	12	24	1.470	1.061	1.326
2001	 1	13	24	1.148	1.112	1.135
