countrycode,"population,participation","public,freedom_civil,society","stability,of,political,system","Domestic,public,security","Functioning,of,justice,system","social,inclusion","geographic,coverage,of,public,services","institutional,solidarity","Traditional,solidarity","Micro,lending","Existence/absence,of,labour,legislation,and,measures","weak,employment,contract,rigisity,,,,,,,,,,,,"
AGO,1,"1,15","1,99","3,01","1,00","1,5","3,00",1,"2,24","1,00","2,52","1,70"
ARE,"1,65","2,14","4,00","3,68","1,52","2,51","4,00","2,63","3,24","1,00","1,96","2,32"
ARG,"1,35","3,59","3,69","3,43","2,77","3,5","3,00","2,26","3,50","1,00","3,00","1,0"
AUS,"3,65","4,00","4,00","3,76","3,77","3,51","3,68","3,63","2,24","1,00","4,00","3,0"
AUT,3,"3,85","4,00","3,74","3,55","3,74","4,00",4,"2,24","0,00","4,00","3,0"
AZE,0,"1,10","1,31","3,38","1,74","3,49","2,00","1,27","3,48","2,00","2,09","3,28"
BEL,"3,65","4,00","4,00","3,75","3,51","3,75","3,68",4,"2,00","1,00","4,00","1,0"
BEN,"2,69","3,01","3,69","3,62","1,77","3,24","1,31","0,95","3,00","2,00","2,00","2,66"
BFA,2,"2,95","2,88","3,25","1,51","2,99","2,00","0,95","3,50","2,00","2,00","1,66"
BGD,"1,35","2,79","3,25","2,87","1,77","2,74","2,36","0,63","3,74","4,00","1,00","2,0"
BGR,"1,35","3,38","3,69","3,62","2,04","3,75","3,31",3,"3,50","0,00","3,52","2,0"
BHR,1,"2,72","3,69","3,87","2,00",2,"3,32",2,"4,00","0,00","2,00","1,64"
BOL,"2,31","2,58","2,88","2,85","1,77","2,5","2,64","2,26","2,72","3,00","3,48","2,36"
BRA,"3,34","3,85","4,00","3,49","2,79","3,25","3,00","2,31","3,24","2,00","3,52","2,64"
BWA,2,"2,85","4,00","3,01","2,51","2,5","2,64","1,31","2,74","2,00","2,04","3,0"
CAF,1,"2,38","4,00","1,53","1,77","1,74","2,27","0,32","2,74","1,00","1,04","1,0"
CAN,4,"4,00","4,00","3,89","3,77","3,75","3,68",4,"1,50","0,00","4,00","1,64"
CHE,"3,65","4,00","4,00","4,00","3,52",4,"3,31",4,"2,98","2,00","4,00","2,28"
CHL,2,"3,27","4,00","3,39","2,74",3,"3,31","2,63","3,50","2,00","2,48","3,0"
CHN,2,"0,98","3,38","2,88","1,73","2,26","2,69","1,31","2,98","2,00","1,00","2,98"
CIV,"0,34","2,00","1,00","1,94","1,73","1,75","3,31","1,69","3,24","2,00","2,00","2,30"
CMR,"1,31","2,59","3,69","2,73","1,50","2,25","2,31","0,32","3,24","1,00","1,96","2,0"
COG,"1,31","2,42","3,37","3,47","1,73","1,25","1,00","1,31","3,24","2,00","1,00","2,34"
COL,"2,66","3,05","3,25","1,63","2,76","3,25","3,64","2,32","3,24","3,00","2,52","1,34"
CUB,"2,31","1,08","3,37","3,60","2,22",3,"2,59",4,"2,72","1,00","2,56","1,30"
CYP,"2,65","3,64","4,00","3,49","3,52","3,25","2,36","2,27","3,48","0,00","3,52","1,30"
CZE,"2,35","3,79","4,00","3,89","3,28","3,25","4,00",4,"1,24","0,00","4,00","1,0"
DEU,4,"4,00","4,00","3,89","3,75","3,75","4,00","3,63","1,52","1,00","2,96","3,30"
DNK,4,"3,85","4,00","4,00","4,00","3,51","4,00",4,"2,50","0,00","2,44","3,64"
DOM,"0,66","2,44","4,00","3,02","1,51",2,"2,32","1,26","3,26","1,00","2,48","2,28"
DZA,"0,69","1,79","1,94","2,44","1,76","2,25","1,68","1,63","3,24","1,00","3,00","2,62"
