,Total improved,Piped on premises,Other improved,Other unimproved,Improved,Shared,Other unimproved,Open defecation
Bahamas,0,0,0,0,100,0,0,0
Barbados,100,100,0,0,100,0,0,0
Bulgaria,100,100,0,0,100,0,0,0
Canada,100,100,0,0,100,0,0,0
Cook Islands,0,0,0,0,100,0,0,0
Croatia,99,99,0,1,99,1,0,0
Czech Republic,100,100,0,0,98,2,0,0
Estonia,98,98,0,2,95,5,0,0
Grenada,0,0,0,0,97,0,3,0
Guam,100,100,0,0,99,0,1,0
Hungary,100,100,0,0,100,0,0,0
Kuwait,99,99,0,1,100,0,0,0
Latvia,99,99,0,1,0,0,0,0
Lebanon,100,100,0,0,0,0,0,0
Libya,0,0,0,0,97,0,3,0
Malaysia,100,100,0,0,96,4,0,0
Nauru,88,88,0,12,65,31,4,0
Niue,100,100,0,0,100,0,0,0
Northern Mariana Islands,98,98,0,2,0,0,0,0
Qatar,100,100,0,0,100,0,0,0
Saint Kitts and Nevis,99,99,0,1,96,0,4,0
Slovakia,100,100,0,0,100,0,0,0
Tokelau,97,97,0,3,93,0,7,0
Tonga,100,100,0,0,96,0,4,0
Turkmenistan,0,0,0,0,98,0,2,0
Turks and Caicos Islands,100,100,0,0,0,0,0,0
United Arab Emirates,100,100,0,0,98,2,0,0
Marshall Islands,94,1,93,6,75,12,0,13
Central African Republic,67,2,65,29,34,18,28,20
Guinea0Bissau,64,3,61,34,20,6,43,31
Rwanda,65,3,62,20,55,8,34,3
Afghanistan,50,4,46,40,37,0,46,17
Liberia,73,4,69,15,18,25,12,45
Nigeria,58,4,54,28,31,25,22,22
Uganda,72,4,68,16,34,20,36,10
Equatorial Guinea,0,5,0,0,0,0,0,0
Bangladesh,81,6,75,18,56,25,15,4
Burkina Faso,79,6,73,17,17,17,7,59
Burundi,72,6,66,10,46,6,47,1
Madagascar,46,6,40,21,15,18,30,37
Togo,61,6,55,22,13,22,14,51
Chad,51,7,44,45,13,6,19,62
Malawi,83,7,76,14,51,33,8,8
Ethiopia,44,8,36,37,21,12,21,46
Mozambique,47,8,39,42,18,4,37,41
Myanmar,83,8,75,11,76,13,5,6
Niger,49,8,41,49,9,6,6,79
Sierra Leone,55,8,47,13,13,27,32,28
United Republic of Tanzania,53,8,45,31,10,8,70,12
Democratic Republic of the Congo,45,9,36,37,24,27,40,9
Haiti,69,10,59,19,17,15,40,28
Papua New Guinea,40,10,30,20,45,0,39,16
Guinea,74,11,63,17,18,18,44,20
Mali,64,13,51,34,22,19,45,14
Zambia,61,13,48,24,48,14,20,18
Montserrat,100,14,86,0,96,0,4,0
