country;2009
Albania;2903
Algeria;3239
Angola;2079
Antigua and Barbuda;2373
Argentina;2918
Armenia;2806
Australia;3261
Austria;3800
Azerbaijan;3072
Bahamas;2750
Bangladesh;2481
Barbados;3021
Belarus;3186
Belgium;3721
Belize;2680
Benin;2592
Bermuda;2716
Bolivia (Plurinational State of);2172
Bosnia and Herzegovina;3070
Botswana;2164
Brazil;3173
Brunei Darussalam;3088
Bulgaria;2791
Burkina Faso;2647
Burundi;1604
Cambodia;2382
Cameroon;2457
Canada;3399
Cape Verde;2644
Central African Republic;2181
Chad;2074
Chile;2908
China;3036
Colombia;2717
Comoros;2139
Republic of Congo;2056
Costa Rica;2886
Côte d'Ivoire;2670
Croatia;3130
Cuba;3258
Cyprus;2678
Czech Republic;3305
Democratic People's Republic of Korea;2078
Denmark;3378
Djibouti;2419
Dominica;3147
Dominican Republic;2491
Ecuador;2267
Egypt;3349
El Salvador;2574
Eritrea;1640
Estonia;3163
Ethiopia;2097
Fiji;2996
Finland;3240
France;3531
French Polynesia;2942
Gabon;2745
Gambia;2643
Georgia;2743
Germany;3549
Ghana;2934
Greece;3661
Grenada;2456
Guatemala;2244
Guinea;2652
Guinea-Bissau;2476
Guyana;2718
Haiti;1979
Honduras;2694
Hungary;3477
Iceland;3376
India;2321
Indonesia;2646
Iran (Islamic Republic of);3143
Ireland;3617
Israel;3569
Italy;3627
Jamaica;2807
Japan;2723
Jordan;2977
Kazakhstan;3284
Kenya;2092
Kiribati;2866
Kuwait;3681
Kyrgyzstan;2791
Lao People's Democratic Republic;2377
Latvia;2923
Lebanon;3153
Lesotho;2371
Liberia;2261
Libya;3157
Lithuania;3486
Luxembourg;3637
Madagascar;2117
Malawi;2318
Malaysia;2902
Maldives;2720
Mali;2624
Malta;3438
Mauritania;2856
Mauritius;2993
Mexico;3146
Mongolia;2434
Montenegro;2887
Morocco;3264
Mozambique;2112
Myanmar;2493
Namibia;2151
Nepal;2443
Netherlands;3261
Netherlands Antilles;3102
New Caledonia;2826
New Zealand;3172
Nicaragua;2517
Niger;2489
Nigeria;2711
Norway;3453
Occupied Palestinian Territory;2130
Pakistan;2423
Panama;2606
Paraguay;2518
Peru;2563
Philippines;2580
Poland;3392
Portugal;3617
Republic of Korea;3200
Republic of Moldova;2707
Romania;3487
Russian Federation;3172
Rwanda;2188
Saint Kitts and Nevis;2546
Saint Lucia;2710
Saint Vincent and the Grenadines;2914
Samoa;2997
Sao Tome and Principe;2734
Saudi Arabia;3076
Senegal;2479
Serbia;2823
Seychelles;2426
Sierra Leone;2162
Slovakia;2881
Slovenia;3275
Solomon Islands;2439
South Africa;3017
Spain;3239
Sri Lanka;2426
Sudan (former);2326
Suriname;2548
Swaziland;2249
Sweden;3125
Switzerland;3454
Syrian Arab Republic;3212
Tajikistan;2106
Thailand;2862
The former Yugoslav Republic of Macedonia;2957
Timor-Leste;2076
Togo;2363
Trinidad and Tobago;2751
Tunisia;3314
Turkey;3666
Turkmenistan;2878
Uganda;2260
Ukraine;3198
United Arab Emirates;3245
United Kingdom;3432
United Republic of Tanzania;2137
United States of America;3688
Uruguay;2808
Uzbekistan;2618
Vanuatu;2841
Venezuela (Bolivarian Republic of);3014
Viet Nam;2690
Yemen;2109
Zambia;1879
Zimbabwe;2219
