,data [km³/y]
ATG,0
DZA,98.46372709
AZE,10.86195759
ALB,12.75098403
ARM,5.034062567
AGO,405.395723
ASM,0
ARG,500.4517543
AUS,1287.255765
BHR,0
BRB,0
BMU,0
BHS,1.680473237
BGD,160.7785112
BLZ,13.21640446
BIH,20.35201741
BOL,590.0791955
MMR,859.9533993
BEN,44.62290729
SLB,32.832982
BRA,6400.081087
BGR,10.0416755
BRN,5.886100166
CAN,3309.631092
KHM,165.6278581
LKA,55.43676184
COG,260.7556712
COD,1005.014997
BDI,7.449820567
CHN,2232.859349
AFG,97.16288988
BTN,34.91738094
CHL,506.6666509
CYM,0
CMR,374.3710124
TCD,148.2985953
COM,4.591002119
COL,1893.326544
CRI,110.7762072
CAF,301.5852137
CUB,42.93679336
CPV,0
COK,0
CYP,1.683021044
DNK,27.68695654
DJI,2.27287762
DMA,0
DOM,10.37644136
ECU,176.8677675
EGY,11.05148436
IRL,63.98062447
GNQ,69.76961927
EST,15.39838072
ERI,14.59895805
SLV,14.42013917
ETH,405.8450152
AUT,39.41091297
CZE,13.98419959
GUF,46.89089656
FIN,112.4611249
FJI,11.78856516
FLK,1.712746092
FSM,0
PYF,1.63464885
FRA,192.0324286
GMB,0.83502544
GAB,522.1844103
GEO,45.48140314
GHA,62.67397458
GRD,0
GRL,505.6583194
DEU,119.7784824
GUM,0
GRC,36.41701651
GTM,107.0821368
GIN,227.8449165
GUY,121.7855758
HTI,13.72882831
HND,85.28186248
HRV,16.17286591
HUN,7.381963192
ISL,103.016707
IND,2142.52699
IRN,186.0519353
ISR,1.880030746
ITA,111.9221224
CIV,161.9463742
IRQ,35.17091969
JPN,427.9487142
JAM,5.713834246
JOR,2.627747322
KEN,142.602233
KGZ,38.26475259
PRK,59.16209434
KIR,1.36594654
KOR,68.30975247
KWT,1.457925057
KAZ,149.8526358
LAO,162.6999667
LBN,3.871032667
LVA,22.91256949
BLR,27.51142343
LTU,18.76612116
LBR,178.1014101
SVK,7.183406069
LIE,0
LBY,61.08352785
MDG,456.2541017
MTQ,0
MNG,59.84760703
MSR,0
MKD,4.684943225
MLI,99.81182372
MAR,22.74334599
MUS,0
MRT,40.70883166
MLT,0
OMN,21.4760048
MDV,0
MEX,558.7235147
MYS,520.1851993
MOZ,407.7247829
MWI,54.83296182
NCL,7.01149155
NIU,0
NER,74.55420521
ABW,0
AIA,0
BEL,14.35488041
HKG,0
MNP,0
FRO,0
AND,0
GIB,0
IMN,0
LUX,0.546112982
MAC,0
MCO,0
PSE,1.363914219
MNE,10.95069019
MYT,0
ALA,0.476490514
NFK,0
CCK,0
ATA,0
BVT,0
ATF,3.015616477
HMD,0
IOT,0
CXR,0
UMI,0
VUT,10.15509807
NGA,525.512018
NLD,14.61931298
NOR,330.7232852
NPL,159.7972309
NRU,0
SUR,45.39308422
NIC,139.3024777
NZL,237.812779
PRY,129.7205688
PER,711.0667295
PAK,116.5738304
POL,66.3559878
PAN,85.99203085
PRT,23.37078366
PNG,868.24651
GNB,27.77142489
QAT,0.232788828
REU,0
ROU,16.34790872
MDA,1.438859057
PHL,423.2048428
PRI,3.435738857
RUS,4709.333583
RWA,4.296282183
SAU,94.17642602
KNA,0
SYC,0
ZAF,98.31155939
LSO,4.368794693
BWA,20.69074944
SEN,38.72499939
SVN,12.23406491
SLE,144.6504272
SGP,0
SOM,133.7443396
ESP,70.18766051
LCA,0
SDN,171.3564131
SWE,196.6410453
SYR,14.16426707
CHE,32.33693172
TTO,0.559042114
THA,250.3605785
TJK,47.09221548
TKL,0
TON,0
TGO,22.38925238
STP,0
TUN,5.947618192
TUR,166.7577973
TUV,0
TKM,37.60148865
TZA,278.1365456
UGA,109.2966714
GBR,182.6480003
UKR,53.02208859
USA,2921.039625
BFA,60.01562144
URY,95.02167298
UZB,35.72625702
VCT,0.901710419
VEN,620.8375972
VGB,0
VNM,333.1088428
VIR,1.430668519
NAM,40.69548036
WLF,0
WSM,3.75381013
SWZ,3.427280142
YEM,44.57790174
ZMB,172.9341362
ZWE,67.48155202
IDN,2561.65606
GLP,0.987214013
ANT,0
ARE,2.079729516
TLS,3.166347082
PCN,0
PLW,0
MHL,0
SPM,0
SHN,0
SMR,0
TCA,0
ESH,4.588506522
SRB,7.996657181
VAT,0
SJM,40.19414739
MAF,0
BLM,0
GGY,0
JEY,0
SGS,8.614493527
TWN,46.50936633
