,data [km³/y]
ATG,0
DZA,34.21880934
AZE,9.580574375
ALB,17.80265634
ARM,5.058266586
AGO,342.8377204
ASM,0
ARG,537.8293444
AUS,1043.360819
BHR,0
BRB,0
BMU,0
BHS,1.087719779
BGD,172.4349108
BLZ,10.50764017
BIH,28.60255973
BOL,388.8325363
MMR,926.2759323
BEN,33.89728727
SLB,24.9582391
BRA,5858.020822
BGR,17.79264085
BRN,5.562397992
CAN,3811.605536
KHM,152.3774734
LKA,59.98519376
COG,175.7166221
COD,855.2322908
BDI,7.271933399
CHN,2351.385444
AFG,78.55604782
BTN,43.59511262
CHL,497.7199455
CYM,0
CMR,340.9922971
TCD,145.3685089
COM,4.120480852
COL,1947.423094
CRI,102.6802561
CAF,250.1633164
CUB,34.76852192
CPV,0
COK,0
CYP,2.338599488
DNK,25.98532297
DJI,3.060952599
DMA,0
DOM,7.297501332
ECU,269.4737126
EGY,1.595560873
IRL,64.70202879
GNQ,51.61903831
EST,15.81212419
ERI,31.36768373
SLV,13.74577288
ETH,345.7314461
AUT,41.98024894
CZE,16.9562298
GUF,64.2052858
FIN,114.2110102
FJI,12.27793977
FLK,1.729527113
FSM,0
PYF,1.950819245
FRA,236.9542772
GMB,0.07167877
GAB,385.513043
GEO,47.51354257
GHA,50.0856177
GRD,0
GRL,545.0474028
DEU,126.7831902
GUM,0
GRC,50.8553639
GTM,105.4519991
GIN,193.65079
GUY,131.0770379
HTI,12.86314112
HND,66.48671682
HRV,21.63269141
HUN,12.07289294
ISL,91.38207944
IND,2074.20033
IRN,165.4685854
ISR,2.15183819
ITA,124.9278089
CIV,126.8639019
IRQ,37.67501503
JPN,424.3583496
JAM,3.73119811
JOR,2.646155879
KEN,66.15538072
KGZ,41.05448294
PRK,55.12998335
KIR,1.722171511
KOR,64.53687701
KWT,1.230342977
KAZ,133.9237435
LAO,159.3491701
LBN,5.353361449
LVA,25.88055686
BLR,42.08740396
LTU,22.84220379
LBR,162.4387312
SVK,10.12407771
LIE,0
LBY,33.66766649
MDG,473.6921457
MTQ,0
MNG,49.51909615
MSR,0
MKD,7.306407993
MLI,18.58814565
MAR,27.18178385
MUS,0
MRT,18.25231841
MLT,0
OMN,8.904871614
MDV,0
MEX,485.3608884
MYS,529.1564224
MOZ,269.9258355
MWI,38.74358783
NCL,6.906694773
NIU,0
NER,46.36797866
ABW,0
AIA,0
BEL,15.64209389
HKG,0
MNP,0
FRO,0
AND,0
GIB,0
IMN,0
LUX,0.64217652
MAC,0
MCO,0
PSE,1.46380025
MNE,14.88926617
MYT,0
ALA,0.474990384
NFK,0
CCK,0
ATA,0
BVT,0
ATF,3.19513996
HMD,0
IOT,0
CXR,0
UMI,0
VUT,9.707182887
NGA,419.816199
NLD,15.34186428
NOR,309.7840801
NPL,155.8975833
NRU,0
SUR,57.2661265
NIC,119.8827176
NZL,276.6786984
PRY,108.9632478
PER,824.0785314
PAK,84.70368663
POL,78.14804573
PAN,81.53791636
PRT,36.4230143
PNG,710.2845003
GNB,18.29033529
QAT,0.063113572
REU,0
ROU,33.01011988
MDA,3.751946227
PHL,362.0207759
PRI,2.800527368
RUS,4952.140385
RWA,4.116625454
SAU,80.36754778
KNA,0
SYC,0
ZAF,73.43559049
LSO,3.070680234
BWA,3.743565989
SEN,19.9073628
SVN,13.13460377
SLE,140.090212
SGP,0
SOM,40.7596331
ESP,113.064473
LCA,0
SDN,171.3120231
SWE,199.7321986
SYR,21.94759077
CHE,32.57318328
TTO,0.998426961
THA,252.7570428
TJK,45.95212771
TKL,0
TON,0
TGO,17.52787849
STP,0
TUN,7.042142923
TUR,244.5205683
TUV,0
TKM,35.1364313
TZA,215.5761591
UGA,104.1908803
GBR,186.0408913
UKR,94.65022726
USA,3104.014791
BFA,40.27751118
URY,113.7500746
UZB,37.7197339
VCT,0.584753274
VEN,619.5651078
VGB,0
VNM,325.3917047
VIR,1.179476395
NAM,17.30006625
WLF,0
WSM,5.555650345
SWZ,2.470658915
YEM,46.6489652
ZMB,118.7057158
ZWE,39.54051605
IDN,2427.377848
GLP,0.624165241
ANT,0
ARE,0.799275691
TLS,2.036906089
PCN,0
PLW,0
MHL,0
SPM,0
SHN,0
SMR,0
TCA,0
ESH,2.366241523
SRB,15.46079519
VAT,0
SJM,22.35706419
MAF,0
BLM,0
GGY,0
JEY,0
SGS,8.861368473
TWN,44.65492345
