,data [km³/y]
ATG,0
DZA,44.40576073
AZE,11.94331256
ALB,17.273832
ARM,5.459361036
AGO,336.820377
ASM,0
ARG,386.1946934
AUS,1182.336145
BHR,0
BRB,0
BMU,0
BHS,1.411704008
BGD,96.81554918
BLZ,6.713090455
BIH,25.88392268
BOL,384.7299523
MMR,702.899956
BEN,8.741292258
SLB,33.54972817
BRA,6261.856189
BGR,15.8896946
BRN,5.183720617
CAN,3143.058417
KHM,106.0594207
LKA,42.15227502
COG,128.9367199
COD,478.0945279
BDI,6.59431434
CHN,1885.000991
AFG,138.7028591
BTN,28.64142537
CHL,510.4214423
CYM,0
CMR,200.6754757
TCD,-11.15984087
COM,4.107915444
COL,1892.599008
CRI,65.9887581
CAF,95.55872224
CUB,24.90877359
CPV,0
COK,0
CYP,2.726398704
DNK,20.25352121
DJI,1.172344154
DMA,0
DOM,5.506758204
ECU,230.9047031
EGY,-1.553021725
IRL,53.1100388
GNQ,43.39319257
EST,12.54055626
ERI,4.726596982
SLV,7.248187158
ETH,205.4763101
AUT,37.17475889
CZE,12.00663386
GUF,71.02472141
FIN,73.55300406
FJI,16.58267027
FLK,2.130294642
FSM,0
PYF,2.198087242
FRA,184.016167
GMB,-0.415258005
GAB,325.5082871
GEO,46.14788429
GHA,13.12378142
GRD,0
GRL,462.6643018
DEU,88.75991736
GUM,0
GRC,50.5136496
GTM,60.65492629
GIN,87.85999266
GUY,154.5317195
HTI,8.809147444
HND,40.01184934
HRV,19.19180136
HUN,8.953195899
ISL,88.46793235
IND,1347.293729
IRN,259.0979402
ISR,2.636671596
ITA,137.6774759
CIV,43.56283368
IRQ,36.63863644
JPN,399.4429066
JAM,2.098324879
JOR,3.103061111
KEN,78.52154534
KGZ,41.85165829
PRK,62.83886158
KIR,1.084656021
KOR,71.15562556
KWT,1.631412471
KAZ,104.2576478
LAO,108.5318921
LBN,5.147737597
LVA,19.77555162
BLR,24.31152988
LTU,15.85723986
LBR,79.46596979
SVK,8.285787665
LIE,0
LBY,28.03090701
MDG,423.0759753
MTQ,0
MNG,56.50480942
MSR,0
MKD,6.722595801
MLI,-14.08648335
MAR,59.06351735
MUS,0
MRT,-6.771783624
MLT,0
OMN,8.465009699
MDV,0
MEX,287.5420625
MYS,499.5957928
MOZ,256.5812656
MWI,37.23208308
NCL,8.746599079
NIU,0
NER,0.834532836
ABW,0
AIA,0
BEL,11.0429429
HKG,0
MNP,0
FRO,0
AND,0
GIB,0
IMN,0
LUX,0.424199466
MAC,0
MCO,0
PSE,1.735072408
MNE,13.98257304
MYT,0
ALA,0.351126033
NFK,0
CCK,0
ATA,0
BVT,0
ATF,3.336394791
HMD,0
IOT,0
CXR,0
UMI,0
VUT,13.62296812
NGA,162.4057255
NLD,10.40467256
NOR,283.5724929
NPL,109.4305526
NRU,0
SUR,67.86526742
NIC,71.36947512
NZL,276.0065089
PRY,82.48687
PER,775.5483665
PAK,87.57194885
POL,56.57272656
PAN,57.03189104
PRT,41.83056187
PNG,879.2906575
GNB,9.784997091
QAT,0.243154649
REU,0
ROU,24.2301852
MDA,2.945723658
PHL,394.9575974
PRI,2.24690117
RUS,3608.614705
RWA,3.620349201
SAU,63.60785658
KNA,0
SYC,0
ZAF,97.28251303
LSO,3.992309891
BWA,22.26907277
SEN,3.140553602
SVN,12.24019373
SLE,56.09999333
SGP,0
SOM,21.21557709
ESP,132.6822429
LCA,0
SDN,-6.371006781
SWE,139.328893
SYR,19.05920754
CHE,29.03066669
TTO,0.575559997
THA,178.3411857
TJK,48.32833652
TKL,0
TON,0
TGO,4.785866481
STP,0
TUN,9.991596464
TUR,201.1334138
TUV,0
TKM,40.15864663
TZA,186.940712
UGA,92.70685234
GBR,146.940512
UKR,68.56899535
USA,2808.25189
BFA,7.186995703
URY,96.47554349
UZB,35.31338685
VCT,0.357967987
VEN,542.6598604
VGB,0
VNM,245.5064454
VIR,1.394979327
NAM,30.4334145
WLF,0
WSM,6.518879776
SWZ,2.310598722
YEM,8.655558724
ZMB,101.0595573
ZWE,56.08527036
IDN,2681.605242
GLP,0.423293369
ANT,0
ARE,1.227250999
TLS,2.575383868
PCN,0
PLW,0
MHL,0
SPM,0
SHN,0
SMR,0
TCA,0
ESH,2.08429763
SRB,11.0563198
VAT,0
SJM,25.42809239
MAF,0
BLM,0
GGY,0
JEY,0
SGS,8.806009991
TWN,40.77549203
