,data [km³/y]
ATG,0
DZA,39.57056145
AZE,6.196903716
ALB,16.30829834
ARM,3.668000494
AGO,146.3259095
ASM,0
ARG,309.4437334
AUS,747.4915191
BHR,0
BRB,0
BMU,0
BHS,0.811661614
BGD,167.6098995
BLZ,10.5063945
BIH,24.73166932
BOL,238.4759898
MMR,840.1306062
BEN,20.00430866
SLB,26.1744816
BRA,4574.512905
BGR,13.10895498
BRN,3.639836631
CAN,2584.900861
KHM,111.5751992
LKA,36.43432829
COG,138.0843204
COD,537.2478767
BDI,5.37547543
CHN,1774.14659
AFG,79.48018797
BTN,41.39720694
CHL,394.6810755
CYM,0
CMR,230.9887459
TCD,61.73713749
COM,3.2375056
COL,1576.292449
CRI,96.59419363
CAF,140.6205561
CUB,22.59318539
CPV,0
COK,0
CYP,2.235228226
DNK,10.24480867
DJI,1.132464299
DMA,0
DOM,8.973025346
ECU,169.4528721
EGY,-1.706411451
IRL,36.31722557
GNQ,48.76948322
EST,7.796138813
ERI,11.08094546
SLV,12.83928845
ETH,239.1236424
AUT,38.15818613
CZE,10.67863791
GUF,89.54207872
FIN,70.71433254
FJI,9.546500982
FLK,0.5527967
FSM,0
PYF,1.18870902
FRA,154.4537449
GMB,-0.175602446
GAB,335.8983255
GEO,41.32657948
GHA,36.20814869
GRD,0
GRL,391.5963023
DEU,57.39035497
GUM,0
GRC,50.04414395
GTM,94.83111717
GIN,142.1817773
GUY,147.9247253
HTI,12.46828805
HND,71.86744733
HRV,16.23744593
HUN,5.061491218
ISL,71.76141446
IND,1633.569919
IRN,173.1526419
ISR,2.661489824
ITA,127.6154112
CIV,93.50677448
IRQ,32.46594036
JPN,339.7559155
JAM,3.299942053
JOR,2.973197269
KEN,45.27342947
KGZ,29.00935353
PRK,41.53964585
KIR,0.356661249
KOR,48.87169006
KWT,0.873544007
KAZ,55.43922995
LAO,135.6300901
LBN,5.016533395
LVA,11.6816176
BLR,14.4697304
LTU,9.009222914
LBR,133.2576784
SVK,6.733435086
LIE,0
LBY,32.36349317
MDG,377.50176
MTQ,0
MNG,33.34502303
MSR,0
MKD,6.789274933
MLI,-4.103949911
MAR,44.22202766
MUS,0
MRT,9.360432058
MLT,0
OMN,8.859490076
MDV,0
MEX,380.4869508
MYS,383.5766687
MOZ,198.58035
MWI,34.77158291
NCL,4.957647399
NIU,0
NER,17.16642492
ABW,0
AIA,0
BEL,6.632571429
HKG,0
MNP,0
FRO,0
AND,0
GIB,0
IMN,0
LUX,0.284339414
MAC,0
MCO,0
PSE,1.769950436
MNE,13.76364856
MYT,0
ALA,0.228923162
NFK,0
CCK,0
ATA,0
BVT,0
ATF,1.085815386
HMD,0
IOT,0
CXR,0
UMI,0
VUT,6.377975893
NGA,291.9375622
NLD,5.542964161
NOR,240.2575508
NPL,144.617001
NRU,0
SUR,80.97468864
NIC,123.8538774
NZL,204.6745502
PRY,80.1369648
PER,512.8296328
PAK,71.49060688
POL,25.02398402
PAN,70.68571729
PRT,31.86037274
PNG,750.242832
GNB,14.95086711
QAT,0.11360805
REU,0
ROU,22.27604692
MDA,2.451180962
PHL,322.1447102
PRI,4.054116219
RUS,3275.640632
RWA,4.095857006
SAU,62.31142524
KNA,0
SYC,0
ZAF,60.69429451
LSO,2.968518985
BWA,1.403867394
SEN,11.54609347
SVN,11.58224297
SLE,108.3390881
SGP,0
SOM,16.02093315
ESP,100.7972464
LCA,0
SDN,85.20078912
SWE,124.7419762
SYR,17.01015145
CHE,29.65204737
TTO,1.681742194
THA,184.5920412
TJK,36.98965582
TKL,0
TON,0
TGO,11.8401333
STP,0
TUN,9.341762219
TUR,183.9042479
TUV,0
TKM,16.37228161
TZA,110.8375266
UGA,99.26467985
GBR,105.2215948
UKR,48.9729802
USA,2132.845633
BFA,17.92959558
URY,78.81688431
UZB,19.00096214
VCT,0.92886319
VEN,652.438131
VGB,0
VNM,282.4713901
VIR,2.340151198
NAM,12.97040088
WLF,0
WSM,3.40091377
SWZ,2.071394568
YEM,16.39531751
ZMB,57.87133801
ZWE,39.00563092
IDN,1993.861675
GLP,0.861219077
ANT,0
ARE,1.532127567
TLS,1.558184961
PCN,0
PLW,0
MHL,0
SPM,0
SHN,0
SMR,0
TCA,0
ESH,3.054423997
SRB,10.71672263
VAT,0
SJM,21.28967027
MAF,0
BLM,0
GGY,0
JEY,0
SGS,5.231523281
TWN,41.02629055
